,순,팀,승,패,무,승률
0,1.0,LG,49.0,24.0,1.0,0.671
1,2.0,SSG,40.0,30.0,4.0,0.571
2,3.0,KT,40.0,31.0,1.0,0.563
3,4.0,키움,43.0,34.0,1.0,0.558
4,5.0,KIA,39.0,32.0,1.0,0.549
5,6.0,롯데,37.0,34.0,1.0,0.521
6,7.0,삼성,33.0,39.0,0.0,0.458
7,8.0,NC,32.0,40.0,0.0,0.444
8,9.0,두산,31.0,40.0,1.0,0.437
9,10.0,한화,18.0,52.0,2.0,0.257
