,순,팀,승,패,무,승률
0,1.0,KT,6.0,3.0,0.0,0.667
1,2.0,NC,8.0,6.0,0.0,0.571
2,3.0,LG,8.0,6.0,0.0,0.571
3,4.0,키움,4.0,4.0,0.0,0.5
4,5.0,롯데,5.0,6.0,0.0,0.455
5,6.0,삼성,4.0,5.0,0.0,0.444
6,7.0,한화,7.0,10.0,0.0,0.412
7,8.0,KIA,3.0,5.0,1.0,0.375
8,9.0,SSG,4.0,7.0,0.0,0.364
9,10.0,두산,4.0,10.0,0.0,0.286
