,순,팀,승,패,무,승률
0,1.0,LG,11.0,7.0,0.0,0.611
1,2.0,키움,12.0,10.0,0.0,0.545
2,3.0,NC,5.0,5.0,0.0,0.5
3,4.0,KT,8.0,8.0,1.0,0.5
4,5.0,SSG,6.0,7.0,0.0,0.462
5,6.0,KIA,4.0,5.0,0.0,0.444
6,7.0,한화,6.0,9.0,0.0,0.4
7,8.0,두산,5.0,9.0,0.0,0.357
8,9.0,롯데,4.0,12.0,1.0,0.25
9,10.0,삼성,3.0,9.0,0.0,0.25
