,순,팀,승,패,무,승률
0,1.0,SSG,22.0,8.0,2.0,0.733
1,2.0,키움,24.0,12.0,0.0,0.667
2,3.0,LG,16.0,10.0,1.0,0.615
3,4.0,KT,23.0,15.0,0.0,0.605
4,5.0,삼성,20.0,15.0,1.0,0.571
5,6.0,롯데,21.0,16.0,1.0,0.568
6,7.0,NC,18.0,17.0,3.0,0.514
7,8.0,KIA,16.0,16.0,0.0,0.5
8,9.0,두산,14.0,17.0,0.0,0.452
9,10.0,한화,10.0,19.0,0.0,0.345
