시작,전체,전체,전체,전체,리드,리드,리드,리드,동점,동점,동점,동점,열세,열세,열세,열세,Season
끝,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,
1회,144,32,76,36,,,,,144,32,76,36,,,,,2017
2회,144,52,48,44,32.0,27.0,4.0,1.0,76,20,40,16,36.0,5.0,4.0,27.0,2017
3회,144,61,32,51,52.0,43.0,6.0,3.0,48,14,25,9,44.0,4.0,1.0,39.0,2017
4회,144,68,27,49,61.0,55.0,4.0,2.0,32,8,16,8,51.0,5.0,7.0,39.0,2017
5회,144,69,17,58,68.0,63.0,1.0,4.0,27,6,16,5,49.0,0.0,0.0,49.0,2017
6회,143,66,15,62,69.0,63.0,3.0,3.0,17,3,9,5,57.0,0.0,3.0,54.0,2017
7회,143,68,17,58,66.0,62.0,1.0,3.0,15,1,11,3,62.0,5.0,5.0,52.0,2017
8회,143,75,11,57,68.0,64.0,3.0,1.0,17,6,6,5,58.0,5.0,2.0,51.0,2017
9회,86,48,12,26,42.0,40.0,2.0,0.0,11,3,7,1,33.0,5.0,3.0,25.0,2017
10회,12,2,5,5,,,,,12,2,5,5,,,,,2017
11회,5,0,4,1,,,,,5,0,4,1,,,,,2017
12회,4,1,3,0,,,,,4,1,3,0,,,,,2017
