시작,전체,전체,전체,전체,리드,리드,리드,리드,동점,동점,동점,동점,열세,열세,열세,열세,Season
끝,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,
1회,144,36,63,45,,,,,144,36,63,45,,,,,2015
2회,144,55,34,55,36.0,32.0,3.0,1.0,63,21,29,13,45.0,2.0,2.0,41.0,2015
3회,144,58,24,62,55.0,46.0,4.0,5.0,34,9,16,9,55.0,3.0,4.0,48.0,2015
4회,144,62,22,60,58.0,53.0,2.0,3.0,24,5,16,3,62.0,4.0,4.0,54.0,2015
5회,144,67,23,54,62.0,52.0,7.0,3.0,22,10,10,2,60.0,5.0,6.0,49.0,2015
6회,144,68,22,54,67.0,63.0,3.0,1.0,23,4,14,5,54.0,1.0,5.0,48.0,2015
7회,144,77,10,57,68.0,64.0,3.0,1.0,22,10,6,6,54.0,3.0,1.0,50.0,2015
8회,144,71,14,59,77.0,68.0,2.0,7.0,10,3,5,2,57.0,0.0,7.0,50.0,2015
9회,80,36,12,32,36.0,31.0,3.0,2.0,14,2,7,5,30.0,3.0,2.0,25.0,2015
10회,12,3,7,2,,,,,12,3,7,2,,,,,2015
11회,7,3,3,1,,,,,7,3,3,1,,,,,2015
12회,3,2,0,1,,,,,3,2,0,1,,,,,2015
