이 닝,0 점,1+ 점,1 점,2 점,3 점,4 점,5+ 점,최 다,평 균,Season
1,101,43,16,13,6,6,2,6,0.66,2017
2,93,51,24,10,9,3,5,10,0.83,2017
3,91,53,23,9,10,7,4,7,0.87,2017
4,90,54,29,10,9,5,1,8,0.72,2017
5,104,40,14,14,7,4,1,5,0.58,2017
6,102,42,29,6,4,1,2,10,0.5,2017
7,97,46,26,11,5,2,2,7,0.58,2017
8,93,50,27,11,9,0,3,6,0.64,2017
9,74,36,18,10,4,1,3,5,0.63,2017
10,10,2,2,0,0,0,0,1,0.17,2017
11,2,3,3,0,0,0,0,1,0.6,2017
12,3,1,1,0,0,0,0,1,0.25,2017
