이닝,리드,Unnamed: 2,동점,Unnamed: 4,열세,Unnamed: 6,Season
1,,,93-50-1 (0.650),0.65,,,2016
2,34-6-0 (0.850),0.85,42-27-0 (0.609),0.609,17-17-1 (0.500),0.5,2016
3,48-12-0 (0.800),0.8,21-19-0 (0.525),0.525,24-19-1 (0.558),0.558,2016
4,57-13-0 (0.814),0.814,15-11-0 (0.577),0.577,21-26-1 (0.447),0.447,2016
5,65-11-0 (0.855),0.855,11-7-0 (0.611),0.611,17-32-1 (0.347),0.347,2016
6,72-9-0 (0.889),0.889,7-4-0 (0.636),0.636,14-37-1 (0.275),0.275,2016
7,78-8-0 (0.907),0.907,10-4-0 (0.714),0.714,5-38-1 (0.116),0.116,2016
8,84-5-0 (0.944),0.944,5-6-0 (0.455),0.455,4-39-1 (0.093),0.093,2016
9,86-6-0 (0.935),0.935,4-4-1 (0.500),0.5,3-40-0 (0.070),0.07,2016
10,,,3-5-1 (0.375),0.375,,,2016
11,,,1-2-1 (0.333),0.333,,,2016
12,,,0-1-1 (0.000),0.0,,,2016
