시작,전체,전체,전체,전체,리드,리드,리드,리드,동점,동점,동점,동점,열세,열세,열세,열세,Season
끝,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,
1회,144,38,77,29,,,,,144,38,77,29,,,,,2019
2회,144,46,58,40,38.0,35.0,1.0,2.0,77,9,53,15,29.0,2.0,4.0,23.0,2019
3회,144,64,32,48,46.0,44.0,1.0,1.0,58,16,27,15,40.0,4.0,4.0,32.0,2019
4회,144,74,20,50,64.0,61.0,3.0,0.0,32,9,16,7,48.0,4.0,1.0,43.0,2019
5회,144,75,20,49,74.0,66.0,5.0,3.0,20,7,10,3,50.0,2.0,5.0,43.0,2019
6회,144,79,17,48,75.0,73.0,1.0,1.0,20,5,11,4,49.0,1.0,5.0,43.0,2019
7회,144,84,14,46,79.0,76.0,3.0,0.0,17,7,6,4,48.0,1.0,5.0,42.0,2019
8회,144,85,9,50,84.0,78.0,3.0,3.0,14,6,5,3,46.0,1.0,1.0,44.0,2019
9회,77,41,10,26,44.0,38.0,3.0,3.0,9,2,5,2,24.0,1.0,2.0,21.0,2019
10회,10,3,4,3,,,,,10,3,4,3,,,,,2019
11회,4,2,2,0,,,,,4,2,2,0,,,,,2019
12회,2,1,1,0,,,,,2,1,1,0,,,,,2019
