이닝,리드,Unnamed: 2,동점,Unnamed: 4,열세,Unnamed: 6,Season
1,,,93-51-0 (0.646),0.646,,,2018
2,28-7-0 (0.800),0.8,47-23-0 (0.671),0.671,18-21-0 (0.462),0.462,2018
3,45-11-0 (0.804),0.804,26-13-0 (0.667),0.667,22-27-0 (0.449),0.449,2018
4,55-12-0 (0.821),0.821,17-7-0 (0.708),0.708,21-32-0 (0.396),0.396,2018
5,63-11-0 (0.851),0.851,11-5-0 (0.688),0.688,19-35-0 (0.352),0.352,2018
6,67-6-0 (0.918),0.918,11-7-0 (0.611),0.611,15-38-0 (0.283),0.283,2018
7,74-7-0 (0.914),0.914,7-6-0 (0.538),0.538,12-38-0 (0.240),0.24,2018
8,82-3-0 (0.965),0.965,8-6-0 (0.571),0.571,3-42-0 (0.067),0.067,2018
9,85-1-0 (0.988),0.988,7-6-0 (0.538),0.538,1-44-0 (0.022),0.022,2018
10,,,4-10-0 (0.286),0.286,,,2018
11,,,2-3-0 (0.400),0.4,,,2018
12,,,1-0-0 (1.000),1.0,,,2018
