이닝,리드,Unnamed: 2,동점,Unnamed: 4,열세,Unnamed: 6,Season
1,,,68-62-3 (0.523),0.523,,,2012
2,17-5-1 (0.773),0.773,42-37-2 (0.532),0.532,9-20-0 (0.310),0.31,2012
3,28-2-1 (0.933),0.933,27-28-2 (0.491),0.491,13-32-0 (0.289),0.289,2012
4,39-4-2 (0.907),0.907,13-22-1 (0.371),0.371,16-36-0 (0.308),0.308,2012
5,41-6-2 (0.872),0.872,12-13-0 (0.480),0.48,15-43-1 (0.259),0.259,2012
6,49-8-2 (0.860),0.86,8-8-0 (0.500),0.5,11-46-1 (0.193),0.193,2012
7,50-5-2 (0.909),0.909,8-5-0 (0.615),0.615,10-51-1 (0.164),0.164,2012
8,53-3-2 (0.946),0.946,9-5-0 (0.643),0.643,6-53-1 (0.102),0.102,2012
9,55-1-0 (0.982),0.982,8-4-0 (0.667),0.667,5-56-3 (0.082),0.082,2012
10,,,6-3-3 (0.667),0.667,,,2012
11,,,2-3-3 (0.400),0.4,,,2012
12,,,2-1-3 (0.667),0.667,,,2012
