이 닝,0 점,1+ 점,1 점,2 점,3 점,4 점,5+ 점,최 다,평 균,Season
1,99,34,20,10,1,2,1,8,0.44,2012
2,110,23,13,4,4,2,0,4,0.31,2012
3,93,40,22,9,6,1,2,6,0.55,2012
4,103,30,20,6,3,1,0,4,0.34,2012
5,93,40,20,9,6,1,4,8,0.64,2012
6,99,33,19,7,6,0,1,6,0.43,2012
7,101,31,17,3,9,2,0,4,0.44,2012
8,97,35,23,9,1,1,1,5,0.4,2012
9,77,29,19,8,2,0,0,3,0.39,2012
10,8,4,3,1,0,0,0,2,0.42,2012
11,6,2,2,0,0,0,0,1,0.25,2012
12,4,2,1,0,0,1,0,4,0.83,2012
