이 닝,0 점,1+ 점,1 점,2 점,3 점,4 점,5+ 점,최 다,평 균,Season
1,98,46,19,10,9,1,7,8,0.76,2016
2,90,54,22,15,8,4,5,6,0.83,2016
3,95,49,21,16,3,3,6,8,0.76,2016
4,89,55,28,12,9,2,4,7,0.76,2016
5,98,46,16,20,5,2,3,8,0.68,2016
6,90,54,27,11,10,5,1,5,0.72,2016
7,95,49,15,19,8,2,5,8,0.8,2016
8,91,53,29,10,7,6,1,5,0.69,2016
9,63,40,26,6,6,1,1,5,0.63,2016
10,6,3,2,1,0,0,0,2,0.44,2016
11,3,1,1,0,0,0,0,1,0.25,2016
12,2,0,0,0,0,0,0,0,0.0,2016
