이닝,리드,Unnamed: 2,동점,Unnamed: 4,열세,Unnamed: 6,Season
1,,,84-57-3 (0.596),0.596,,,2017
2,25-7-0 (0.781),0.781,43-31-2 (0.581),0.581,16-19-1 (0.457),0.457,2017
3,41-11-0 (0.788),0.788,29-17-2 (0.630),0.63,14-29-1 (0.326),0.326,2017
4,51-9-1 (0.850),0.85,17-14-1 (0.548),0.548,16-34-1 (0.320),0.32,2017
5,57-10-1 (0.851),0.851,15-10-2 (0.600),0.6,12-37-0 (0.245),0.245,2017
6,59-9-1 (0.868),0.868,9-8-0 (0.529),0.529,16-40-2 (0.286),0.286,2017
7,62-4-0 (0.939),0.939,8-6-1 (0.571),0.571,14-46-2 (0.233),0.233,2017
8,66-2-0 (0.971),0.971,9-7-1 (0.563),0.563,9-47-2 (0.161),0.161,2017
9,74-1-0 (0.987),0.987,5-4-2 (0.556),0.556,5-51-1 (0.089),0.089,2017
10,,,3-6-3 (0.333),0.333,,,2017
11,,,1-1-3 (0.500),0.5,,,2017
12,,,1-0-3 (1.000),1.0,,,2017
