시작,전체,전체,전체,전체,리드,리드,리드,리드,동점,동점,동점,동점,열세,열세,열세,열세,Season
끝,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,
1회,144,35,70,39,,,,,144,35,70,39,,,,,2018
2회,144,56,39,49,35.0,31.0,1.0,3.0,70,21,37,12,39.0,4.0,1.0,34.0,2018
3회,144,67,24,53,56.0,52.0,2.0,2.0,39,10,20,9,49.0,5.0,2.0,42.0,2018
4회,144,74,16,54,67.0,62.0,2.0,3.0,24,7,10,7,53.0,5.0,4.0,44.0,2018
5회,144,73,18,53,74.0,68.0,3.0,3.0,16,4,9,3,54.0,1.0,6.0,47.0,2018
6회,144,81,13,50,73.0,69.0,3.0,1.0,18,8,6,4,53.0,4.0,4.0,45.0,2018
7회,144,85,14,45,81.0,76.0,4.0,1.0,13,2,7,4,50.0,7.0,3.0,40.0,2018
8회,144,86,13,45,85.0,81.0,2.0,2.0,14,2,9,3,45.0,3.0,2.0,40.0,2018
9회,77,46,14,17,43.0,41.0,2.0,0.0,13,4,9,0,21.0,1.0,3.0,17.0,2018
10회,14,2,5,7,,,,,14,2,5,7,,,,,2018
11회,5,1,1,3,,,,,5,1,1,3,,,,,2018
12회,1,1,0,0,,,,,1,1,0,0,,,,,2018
