시작,전체,전체,전체,전체,리드,리드,리드,리드,동점,동점,동점,동점,열세,열세,열세,열세,Season
끝,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,
1회,144,34,77,33,,,,,144,34,77,33,,,,,2022
2회,144,45,48,51,34.0,27.0,5.0,2.0,77,14,38,25,33.0,4.0,5.0,24.0,2022
3회,144,51,31,62,45.0,38.0,3.0,4.0,48,7,26,15,51.0,6.0,2.0,43.0,2022
4회,144,56,23,65,51.0,47.0,1.0,3.0,31,7,21,3,62.0,2.0,1.0,59.0,2022
5회,144,50,23,71,56.0,46.0,4.0,6.0,23,2,16,5,65.0,2.0,3.0,60.0,2022
6회,144,59,9,76,50.0,46.0,0.0,4.0,23,11,8,4,71.0,2.0,1.0,68.0,2022
7회,144,58,9,77,59.0,54.0,2.0,3.0,9,1,5,3,76.0,3.0,2.0,71.0,2022
8회,143,54,15,74,58.0,51.0,4.0,3.0,8,1,5,2,77.0,2.0,6.0,69.0,2022
9회,81,29,11,41,26.0,24.0,0.0,2.0,15,3,8,4,40.0,2.0,3.0,35.0,2022
10회,11,1,7,3,,,,,11,1,7,3,,,,,2022
11회,7,2,4,1,,,,,7,2,4,1,,,,,2022
12회,4,0,1,3,,,,,4,0,1,3,,,,,2022
