시작,전체,전체,전체,전체,리드,리드,리드,리드,동점,동점,동점,동점,열세,열세,열세,열세,Season
끝,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,
1회,144,42,65,37,,,,,144,42,65,37,,,,,2020
2회,144,57,43,44,42.0,40.0,1.0,1.0,65,15,38,12,37.0,2.0,4.0,31.0,2020
3회,144,73,27,44,57.0,54.0,1.0,2.0,43,11,26,6,44.0,8.0,0.0,36.0,2020
4회,144,71,23,50,73.0,62.0,7.0,4.0,27,8,13,6,44.0,1.0,3.0,40.0,2020
5회,144,73,21,50,71.0,62.0,5.0,4.0,23,10,11,2,50.0,1.0,5.0,44.0,2020
6회,143,71,22,50,73.0,63.0,7.0,3.0,20,6,10,4,50.0,2.0,5.0,43.0,2020
7회,143,74,14,55,71.0,68.0,1.0,2.0,22,5,10,7,50.0,1.0,3.0,46.0,2020
8회,143,72,14,57,74.0,67.0,1.0,6.0,14,3,8,3,55.0,2.0,5.0,48.0,2020
9회,82,41,12,29,39.0,35.0,2.0,2.0,13,5,6,2,30.0,1.0,4.0,25.0,2020
10회,11,1,9,1,,,,,11,1,9,1,,,,,2020
11회,9,3,3,3,,,,,9,3,3,3,,,,,2020
12회,3,1,1,1,,,,,3,1,1,1,,,,,2020
