이 닝,0 점,1+ 점,1 점,2 점,3 점,4 점,5+ 점,최 다,평 균,Season
1,93,51,21,19,7,1,3,6,0.69,2015
2,106,38,22,7,3,3,3,8,0.54,2015
3,98,46,18,12,8,5,3,9,0.74,2015
4,104,40,21,9,8,1,1,5,0.5,2015
5,102,42,16,14,8,3,1,5,0.59,2015
6,111,33,15,12,2,1,3,7,0.47,2015
7,97,47,24,13,5,2,3,8,0.65,2015
8,99,45,20,11,8,1,5,8,0.72,2015
9,84,31,14,10,2,2,3,6,0.56,2015
10,10,2,2,0,0,0,0,1,0.17,2015
11,6,1,0,1,0,0,0,2,0.29,2015
12,2,1,0,1,0,0,0,2,0.67,2015
