시작,전체,전체,전체,전체,리드,리드,리드,리드,동점,동점,동점,동점,열세,열세,열세,열세,Season
끝,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,
1회,128,34,56,38,,,,,128,34,56,38,,,,,2014
2회,128,45,34,49,34.0,29.0,2.0,3.0,56,14,28,14,38.0,2.0,4.0,32.0,2014
3회,128,56,21,51,45.0,41.0,2.0,2.0,34,10,17,7,49.0,5.0,2.0,42.0,2014
4회,128,59,13,56,56.0,51.0,1.0,4.0,21,4,11,6,51.0,4.0,1.0,46.0,2014
5회,128,58,11,59,59.0,53.0,1.0,5.0,13,1,8,4,56.0,4.0,2.0,50.0,2014
6회,126,59,11,56,58.0,53.0,5.0,0.0,11,2,5,4,57.0,4.0,1.0,52.0,2014
7회,125,54,10,61,58.0,52.0,2.0,4.0,11,1,6,4,56.0,1.0,2.0,53.0,2014
8회,124,54,9,61,53.0,50.0,0.0,3.0,10,2,7,1,61.0,2.0,2.0,57.0,2014
9회,73,31,7,35,31.0,27.0,2.0,2.0,9,2,4,3,33.0,2.0,1.0,30.0,2014
10회,7,1,4,2,,,,,7,1,4,2,,,,,2014
11회,4,1,3,0,,,,,4,1,3,0,,,,,2014
12회,3,1,1,1,,,,,3,1,1,1,,,,,2014
