이닝,리드,Unnamed: 2,동점,Unnamed: 4,열세,Unnamed: 6,Season
1,,,60-82-2 (0.423),0.423,,,2022
2,18-16-0 (0.529),0.529,32-45-0 (0.416),0.416,10-21-2 (0.323),0.323,2022
3,27-17-1 (0.614),0.614,16-32-0 (0.333),0.333,17-33-1 (0.340),0.34,2022
4,33-17-1 (0.660),0.66,15-16-0 (0.484),0.484,12-49-1 (0.197),0.197,2022
5,38-17-1 (0.691),0.691,10-13-0 (0.435),0.435,12-52-1 (0.188),0.188,2022
6,40-10-0 (0.800),0.8,10-12-1 (0.455),0.455,10-60-1 (0.143),0.143,2022
7,47-12-0 (0.797),0.797,4-4-1 (0.500),0.5,9-66-1 (0.120),0.12,2022
8,51-7-0 (0.879),0.879,1-7-1 (0.125),0.125,8-68-1 (0.105),0.105,2022
9,52-2-0 (0.963),0.963,5-9-1 (0.357),0.357,3-71-0 (0.041),0.041,2022
10,,,3-7-1 (0.300),0.3,,,2022
11,,,2-4-1 (0.333),0.333,,,2022
12,,,0-3-1 (0.000),0.0,,,2022
