이닝,리드,Unnamed: 2,동점,Unnamed: 4,열세,Unnamed: 6,Season
1,,,79-65-0 (0.549),0.549,,,2015
2,22-14-0 (0.611),0.611,34-29-0 (0.540),0.54,23-22-0 (0.511),0.511,2015
3,37-18-0 (0.673),0.673,20-14-0 (0.588),0.588,22-33-0 (0.400),0.4,2015
4,43-15-0 (0.741),0.741,15-9-0 (0.625),0.625,21-41-0 (0.339),0.339,2015
5,47-15-0 (0.758),0.758,12-10-0 (0.545),0.545,20-40-0 (0.333),0.333,2015
6,51-16-0 (0.761),0.761,12-11-0 (0.522),0.522,16-38-0 (0.296),0.296,2015
7,54-14-0 (0.794),0.794,13-9-0 (0.591),0.591,12-42-0 (0.222),0.222,2015
8,66-11-0 (0.857),0.857,4-6-0 (0.400),0.4,9-48-0 (0.158),0.158,2015
9,68-3-0 (0.958),0.958,7-7-0 (0.500),0.5,4-55-0 (0.068),0.068,2015
10,,,8-4-0 (0.667),0.667,,,2015
11,,,5-2-0 (0.714),0.714,,,2015
12,,,2-1-0 (0.667),0.667,,,2015
