,순,팀,승,패,무,승률
0,1.0,SSG,27.0,15.0,0.0,0.643
1,2.0,키움,28.0,18.0,0.0,0.609
2,3.0,LG,19.0,14.0,0.0,0.576
3,4.0,KT,21.0,17.0,0.0,0.553
4,5.0,KIA,22.0,21.0,0.0,0.512
5,6.0,롯데,17.0,18.0,0.0,0.486
6,7.0,NC,17.0,21.0,0.0,0.447
7,8.0,두산,16.0,23.0,0.0,0.41
8,9.0,삼성,16.0,24.0,0.0,0.4
9,10.0,한화,13.0,25.0,0.0,0.342
