이닝,리드,Unnamed: 2,동점,Unnamed: 4,열세,Unnamed: 6,Season
1,,,79-61-4 (0.564),0.564,,,2020
2,32-10-0 (0.762),0.762,35-28-2 (0.556),0.556,12-23-2 (0.343),0.343,2020
3,42-13-2 (0.764),0.764,24-17-2 (0.585),0.585,13-31-0 (0.295),0.295,2020
4,55-14-4 (0.797),0.797,16-11-0 (0.593),0.593,8-36-0 (0.182),0.182,2020
5,57-11-3 (0.838),0.838,13-9-1 (0.591),0.591,9-41-0 (0.180),0.18,2020
6,61-11-1 (0.847),0.847,10-8-3 (0.556),0.556,8-42-0 (0.160),0.16,2020
7,64-6-1 (0.914),0.914,10-10-2 (0.500),0.5,5-45-0 (0.100),0.1,2020
8,68-5-1 (0.932),0.932,7-6-1 (0.538),0.538,4-50-1 (0.074),0.074,2020
9,70-2-0 (0.972),0.972,7-5-2 (0.583),0.583,2-54-1 (0.036),0.036,2020
10,,,5-5-2 (0.500),0.5,,,2020
11,,,4-4-1 (0.500),0.5,,,2020
12,,,1-1-1 (0.500),0.5,,,2020
