이닝,리드,Unnamed: 2,동점,Unnamed: 4,열세,Unnamed: 6,Season
1,,,71-54-3 (0.568),0.568,,,2013
2,26-10-0 (0.722),0.722,26-23-1 (0.531),0.531,19-21-2 (0.475),0.475,2013
3,37-13-0 (0.740),0.74,19-17-1 (0.528),0.528,15-24-2 (0.385),0.385,2013
4,49-12-0 (0.803),0.803,14-14-2 (0.500),0.5,8-28-1 (0.222),0.222,2013
5,46-9-1 (0.836),0.836,18-10-1 (0.643),0.643,7-35-1 (0.167),0.167,2013
6,52-8-0 (0.867),0.867,13-12-1 (0.520),0.52,6-34-2 (0.150),0.15,2013
7,56-8-1 (0.875),0.875,7-5-1 (0.583),0.583,8-41-1 (0.163),0.163,2013
8,62-4-2 (0.939),0.939,6-5-0 (0.545),0.545,3-45-1 (0.063),0.063,2013
9,62-2-1 (0.969),0.969,7-4-2 (0.636),0.636,2-48-0 (0.040),0.04,2013
10,,,6-3-3 (0.667),0.667,,,2013
11,,,4-2-3 (0.667),0.667,,,2013
12,,,0-1-3 (0.000),0.0,,,2013
