이 닝,0 점,1+ 점,1 점,2 점,3 점,4 점,5+ 점,최 다,평 균,Season
1,99,45,21,10,8,4,2,6,0.64,2019
2,108,36,21,6,4,1,4,9,0.51,2019
3,103,41,19,6,8,4,4,10,0.69,2019
4,105,39,21,9,3,3,3,6,0.53,2019
5,106,38,21,6,6,2,3,8,0.55,2019
6,96,48,27,10,8,1,2,7,0.6,2019
7,101,43,22,8,5,5,3,6,0.63,2019
8,97,47,27,13,5,2,0,4,0.53,2019
9,74,29,16,7,4,0,2,7,0.52,2019
10,7,3,3,0,0,0,0,1,0.3,2019
11,2,2,1,0,0,0,1,5,1.5,2019
12,1,1,1,0,0,0,0,1,0.5,2019
