이 닝,0 점,1+ 점,1 점,2 점,3 점,4 점,5+ 점,최 다,평 균,Season
1,102,42,23,5,6,5,3,11,0.65,2022
2,106,38,23,8,5,2,0,4,0.43,2022
3,109,35,21,7,5,1,1,6,0.42,2022
4,107,37,22,9,4,1,1,5,0.42,2022
5,113,31,15,10,3,1,2,5,0.4,2022
6,103,41,20,11,8,1,1,9,0.55,2022
7,107,37,24,2,5,4,2,7,0.49,2022
8,101,43,22,11,6,1,3,5,0.56,2022
9,84,31,15,8,2,3,3,6,0.57,2022
10,9,2,1,1,0,0,0,2,0.27,2022
11,5,2,1,0,0,1,0,4,0.71,2022
12,4,0,0,0,0,0,0,0,0.0,2022
