이 닝,0 점,1+ 점,1 점,2 점,3 점,4 점,5+ 점,최 다,평 균,Season
1,95,38,20,11,3,2,2,5,0.52,2012
2,99,34,22,6,1,3,2,5,0.44,2012
3,104,29,15,8,4,2,0,4,0.38,2012
4,97,36,23,9,3,0,1,5,0.41,2012
5,102,31,16,7,0,7,1,6,0.48,2012
6,98,34,18,5,7,3,1,5,0.5,2012
7,100,32,17,5,5,3,2,9,0.52,2012
8,102,30,18,5,6,1,0,4,0.38,2012
9,91,17,7,7,3,0,0,3,0.28,2012
10,12,0,0,0,0,0,0,0,0.0,2012
11,4,4,3,1,0,0,0,2,0.63,2012
12,5,1,1,0,0,0,0,1,0.17,2012
