이닝,리드,Unnamed: 2,동점,Unnamed: 4,열세,Unnamed: 6,Season
1,,,88-55-1 (0.615),0.615,,,2019
2,32-6-0 (0.842),0.842,48-28-1 (0.632),0.632,8-21-0 (0.276),0.276,2019
3,39-7-0 (0.848),0.848,38-19-1 (0.667),0.667,11-29-0 (0.275),0.275,2019
4,53-10-1 (0.841),0.841,22-10-0 (0.688),0.688,13-35-0 (0.271),0.271,2019
5,62-11-1 (0.849),0.849,14-6-0 (0.700),0.7,12-38-0 (0.240),0.24,2019
6,65-9-1 (0.878),0.878,14-6-0 (0.700),0.7,9-40-0 (0.184),0.184,2019
7,70-8-1 (0.897),0.897,11-6-0 (0.647),0.647,7-41-0 (0.146),0.146,2019
8,75-8-1 (0.904),0.904,11-3-0 (0.786),0.786,2-44-0 (0.043),0.043,2019
9,80-4-1 (0.952),0.952,7-2-0 (0.778),0.778,1-49-0 (0.020),0.02,2019
10,,,6-3-1 (0.667),0.667,,,2019
11,,,3-0-1 (1.000),1.0,,,2019
12,,,1-0-1 (1.000),1.0,,,2019
