시작,전체,전체,전체,전체,리드,리드,리드,리드,동점,동점,동점,동점,열세,열세,열세,열세,Season
끝,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,
1회,144,40,69,35,,,,,144,40,69,35,,,,,2016
2회,144,60,40,44,40.0,35.0,3.0,2.0,69,19,35,15,35.0,6.0,2.0,27.0,2016
3회,144,70,26,48,60.0,54.0,2.0,4.0,40,11,22,7,44.0,5.0,2.0,37.0,2016
4회,144,76,18,50,70.0,62.0,3.0,5.0,26,6,11,9,48.0,8.0,4.0,36.0,2016
5회,144,81,11,52,76.0,71.0,2.0,3.0,18,7,6,5,50.0,3.0,3.0,44.0,2016
6회,144,86,14,44,81.0,75.0,4.0,2.0,11,5,3,3,52.0,6.0,7.0,39.0,2016
7회,144,89,11,44,86.0,81.0,3.0,2.0,14,6,6,2,44.0,2.0,2.0,40.0,2016
8회,144,92,9,43,89.0,86.0,2.0,1.0,11,4,5,2,44.0,2.0,2.0,40.0,2016
9회,82,49,9,24,51.0,43.0,5.0,3.0,9,3,4,2,22.0,3.0,0.0,19.0,2016
10회,9,2,4,3,,,,,9,2,4,3,,,,,2016
11회,4,1,2,1,,,,,4,1,2,1,,,,,2016
12회,2,0,1,1,,,,,2,0,1,1,,,,,2016
