,순,팀,승,패,무,승률
0,1.0,SSG,14.0,7.0,0.0,0.667
1,2.0,삼성,12.0,7.0,0.0,0.632
2,3.0,키움,16.0,11.0,0.0,0.593
3,4.0,두산,11.0,8.0,0.0,0.579
4,5.0,LG,11.0,8.0,0.0,0.579
5,6.0,KIA,10.0,11.0,0.0,0.476
6,7.0,KT,7.0,10.0,0.0,0.412
7,8.0,한화,8.0,12.0,0.0,0.4
8,9.0,롯데,6.0,13.0,0.0,0.316
9,10.0,NC,6.0,14.0,0.0,0.3
