시작,전체,전체,전체,전체,리드,리드,리드,리드,동점,동점,동점,동점,열세,열세,열세,열세,Season
끝,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,
1회,128,36,50,42,,,,,128,36,50,42,,,,,2013
2회,128,50,37,41,36.0,31.0,4.0,1.0,50,13,28,9,42.0,6.0,5.0,31.0,2013
3회,128,61,30,37,50.0,45.0,4.0,1.0,37,10,23,4,41.0,6.0,3.0,32.0,2013
4회,128,56,29,43,61.0,51.0,5.0,5.0,30,5,22,3,37.0,0.0,2.0,35.0,2013
5회,128,60,26,42,56.0,51.0,4.0,1.0,29,8,18,3,43.0,1.0,4.0,38.0,2013
6회,128,65,13,50,60.0,57.0,1.0,2.0,26,8,10,8,42.0,0.0,2.0,40.0,2013
7회,128,68,11,49,65.0,60.0,3.0,2.0,13,4,7,2,50.0,4.0,1.0,45.0,2013
8회,128,65,13,50,68.0,62.0,6.0,0.0,11,2,6,3,49.0,1.0,1.0,47.0,2013
9회,72,33,12,27,33.0,28.0,3.0,2.0,13,3,8,2,26.0,2.0,1.0,23.0,2013
10회,12,2,9,1,,,,,12,2,9,1,,,,,2013
11회,9,4,4,1,,,,,9,4,4,1,,,,,2013
12회,4,0,3,1,,,,,4,0,3,1,,,,,2013
