,순,팀,승,패,무,승률
0,1.0,LG,6.0,0.0,2.0,1.0
1,2.0,SSG,10.0,5.0,4.0,0.667
2,3.0,NC,8.0,4.0,3.0,0.667
3,4.0,키움,7.0,7.0,2.0,0.5
4,5.0,삼성,7.0,8.0,2.0,0.467
5,6.0,KT,5.0,6.0,2.0,0.455
6,7.0,KIA,3.0,5.0,1.0,0.375
7,8.0,한화,4.0,7.0,2.0,0.364
8,9.0,두산,3.0,7.0,1.0,0.3
9,10.0,롯데,2.0,6.0,3.0,0.25
