이 닝,0 점,1+ 점,1 점,2 점,3 점,4 점,5+ 점,최 다,평 균,Season
1,91,53,29,11,8,2,3,6,0.69,2020
2,105,39,18,9,5,4,3,8,0.59,2020
3,94,50,19,16,8,5,2,6,0.74,2020
4,91,53,25,17,7,4,0,4,0.67,2020
5,100,44,16,17,6,5,0,4,0.61,2020
6,93,50,21,15,9,2,3,7,0.73,2020
7,101,42,20,14,6,1,1,5,0.52,2020
8,98,45,26,11,3,3,2,9,0.58,2020
9,69,40,24,9,4,1,2,5,0.62,2020
10,9,2,1,0,0,1,0,4,0.45,2020
11,6,3,3,0,0,0,0,1,0.33,2020
12,2,1,0,0,1,0,0,3,1.0,2020
