이 닝,0 점,1+ 점,1 점,2 점,3 점,4 점,5+ 점,최 다,평 균,Season
1,99,45,20,15,7,2,1,7,0.6,2015
2,95,49,29,9,5,5,1,5,0.6,2015
3,102,42,18,14,5,4,1,5,0.57,2015
4,96,48,27,12,5,2,2,9,0.61,2015
5,95,49,23,13,5,6,2,8,0.71,2015
6,101,43,16,12,11,2,2,6,0.65,2015
7,92,52,22,15,6,6,3,8,0.81,2015
8,90,54,33,9,9,2,1,6,0.64,2015
9,79,30,16,10,3,0,1,6,0.47,2015
10,9,3,2,1,0,0,0,2,0.33,2015
11,4,3,2,1,0,0,0,2,0.57,2015
12,1,2,2,0,0,0,0,1,0.67,2015
