시작,전체,전체,전체,전체,리드,리드,리드,리드,동점,동점,동점,동점,열세,열세,열세,열세,Season
끝,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,
1회,144,39,73,32,,,,,144,39,73,32,,,,,2021
2회,144,54,53,37,39.0,34.0,3.0,2.0,73,19,48,6,32.0,1.0,2.0,29.0,2021
3회,144,60,36,48,54.0,49.0,2.0,3.0,53,9,28,16,37.0,2.0,6.0,29.0,2021
4회,144,66,20,58,60.0,54.0,2.0,4.0,36,11,15,10,48.0,1.0,3.0,44.0,2021
5회,144,68,14,62,66.0,59.0,4.0,3.0,20,8,7,5,58.0,1.0,3.0,54.0,2021
6회,144,69,14,61,68.0,63.0,3.0,2.0,14,4,6,4,62.0,2.0,5.0,55.0,2021
7회,143,70,13,60,69.0,65.0,2.0,2.0,14,3,7,4,60.0,2.0,4.0,54.0,2021
8회,143,69,12,62,70.0,66.0,4.0,0.0,13,1,8,4,60.0,2.0,0.0,58.0,2021
9회,79,36,13,30,36.0,31.0,4.0,1.0,12,3,7,2,31.0,2.0,2.0,27.0,2021
10회,5,2,3,0,,,,,5,2,3,0,,,,,2021
11회,3,0,1,2,,,,,3,0,1,2,,,,,2021
12회,1,0,0,1,,,,,1,0,0,1,,,,,2021
