,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,이닝,ERA,FIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,PFR,BABIP,LOB%,상대 타자,상대 타자,상대 타자,상대 타자,WHIP,WHIP+,투구,IP/G,P/G,P/IP,P/PA,CYP,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,FIP,출장,이닝,ERA,FIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,PFR,BABIP,LOB%,타율,출루율,장타율,OPS,WHIP,WHIP+,투구,IP/G,P/G,P/IP,P/PA,CYP,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
45,34,삼성,14,4.65,543,1144.0,4.59,4.65,7.84,3.11,2.52,0.94,20.0,7.9,12.0,1.22,.327,69.9,.275,.340,.425,.764,1.41,1.46,19628,2.1,36.2,17.2,3.93,166.6,,,,,,
46,35,SK,15,4.68,621,1280.2,4.73,4.68,8.08,3.63,2.22,1.08,20.4,9.2,11.2,1.30,.327,70.5,.275,.349,.427,.776,1.46,1.52,22184,2.1,35.7,17.3,3.93,151.2,,,,,,
47,36,한화,21,4.70,717,1258.2,4.68,4.70,7.23,4.81,1.50,0.82,17.8,11.9,6.0,1.34,.293,68.3,.252,.352,.379,.731,1.49,1.58,22852,1.8,31.9,18.2,4.03,125.4,,,,,,
48,37,삼성,15,4.72,577,1275.1,4.70,4.72,8.43,2.99,2.82,1.28,21.6,7.7,14.0,1.27,.318,70.3,.268,.332,.441,.773,1.37,1.42,21832,2.2,37.8,17.1,3.95,179.1,,,,,,
49,38,KIA,17,4.73,582,1290.0,4.82,4.73,6.87,3.03,2.27,0.96,17.1,7.6,9.6,1.10,.340,70.0,.295,.356,.433,.790,1.51,1.57,22223,2.2,38.2,17.2,3.87,139.5,,,,,,
50,39,NC,15,4.73,635,1279.1,4.26,4.73,7.44,3.07,2.42,1.05,19.1,7.9,11.2,1.17,.306,72.5,.264,.336,.409,.745,1.34,1.43,21647,2.0,34.1,16.9,3.91,223.4,,,,,,
51,40,KT,20,4.74,665,1290.1,4.56,4.74,5.92,3.65,1.62,0.82,14.9,9.2,5.7,1.06,.303,69.0,.271,.344,.391,.735,1.46,1.50,21496,1.9,32.3,16.7,3.79,157.0,,,,,,
52,41,롯데,21,4.75,732,1271.0,5.38,4.75,7.47,4.65,1.61,0.94,18.3,11.4,6.9,1.35,.318,67.1,.271,.364,.410,.774,1.57,1.64,22835,1.7,31.2,18.0,3.97,46.0,,,,,,
53,42,두산,17,4.77,590,1288.0,4.38,4.77,6.68,3.24,2.06,0.87,16.8,8.2,8.7,1.10,.322,71.8,.280,.349,.414,.763,1.45,1.52,22169,2.2,37.6,17.2,3.90,196.6,,,,,,
54,43,NC,16,4.79,628,1286.1,4.49,4.79,8.03,3.61,2.22,0.96,20.3,9.1,11.2,1.29,.318,71.1,.266,.343,.398,.741,1.42,1.49,22027,2.1,35.1,17.1,3.90,198.9,,,,,,
55,44,넥센,17,4.80,554,1271.0,5.06,4.80,7.12,2.75,2.59,1.06,17.7,6.9,10.9,1.10,.337,68.5,.292,.351,.443,.795,1.48,1.55,21258,2.3,38.4,16.7,3.75,91.0,,,,,,
56,45,넥센,15,4.81,587,1286.0,4.95,4.81,7.46,3.63,2.06,1.02,18.7,9.1,9.6,1.23,.329,67.4,.281,.355,.427,.782,1.50,1.56,22172,2.2,37.8,17.2,3.88,120.6,,,,,,
57,46,SSG,21,4.86,660,1276.2,4.84,4.86,7.13,4.44,1.61,1.05,17.7,11.0,6.7,1.29,.303,70.3,.265,.354,.406,.760,1.51,1.57,22459,1.9,34.0,17.6,3.94,118.5,,,,,,
58,47,두산,15,4.86,623,1286.0,5.03,4.86,7.45,4.09,1.82,0.97,18.5,10.1,8.3,1.28,.329,68.5,.280,.362,.422,.784,1.53,1.59,22551,2.1,36.2,17.5,3.91,109.4,,,,,,
59,48,NC,20,4.90,736,1296.2,4.59,4.90,7.28,3.80,1.92,1.06,18.4,9.6,8.8,1.23,.299,70.7,.260,.340,.398,.738,1.42,1.48,22362,1.8,30.4,17.3,3.93,175.2,,,,,,
60,49,LG,14,4.91,574,1142.2,4.60,4.91,6.38,3.30,1.93,0.82,16.1,8.3,7.8,1.08,.314,68.5,.275,.348,.403,.751,1.43,1.51,19437,2.0,33.9,17.0,3.87,130.3,,,,,,
61,50,롯데,17,4.91,623,1287.1,4.57,4.91,7.66,3.34,2.30,1.13,19.5,8.5,11.0,1.22,.317,71.9,.273,.343,.428,.770,1.43,1.49,21978,2.1,35.3,17.1,3.90,180.3,,,,,,
62,51,KIA,21,4.91,676,1269.0,4.91,4.91,6.75,4.41,1.53,0.95,16.7,10.9,5.8,1.24,.301,69.1,.265,.357,.399,.755,1.50,1.59,22375,1.9,33.1,17.6,3.93,94.6,,,,,,
63,52,두산,16,4.96,579,1287.2,4.46,4.96,6.86,3.48,1.97,0.95,17.4,8.8,8.6,1.15,.320,72.2,.279,.350,.422,.772,1.46,1.52,22155,2.2,38.3,17.2,3.92,197.0,,,,,,
64,53,롯데,15,4.98,618,1281.1,5.11,4.98,7.13,3.44,2.08,1.15,17.7,8.5,9.2,1.17,.333,68.3,.291,.361,.444,.805,1.52,1.59,22350,2.1,36.2,17.4,3.91,81.2,,,,,,
65,54,NC,17,5.02,620,1284.2,4.71,5.02,7.69,3.29,2.33,1.18,19.5,8.3,11.1,1.22,.313,69.5,.269,.342,.416,.758,1.41,1.48,22175,2.1,35.8,17.3,3.93,158.0,,,,,,
66,55,KIA,16,5.03,635,1276.0,4.99,5.03,6.81,3.96,1.72,0.92,16.7,9.7,7.0,1.20,.333,68.2,.290,.365,.423,.788,1.58,1.63,22527,2.0,35.5,17.7,3.90,96.5,,,,,,
67,56,삼성,20,5.03,698,1272.1,4.78,5.03,6.59,3.83,1.72,1.07,16.5,9.6,6.9,1.16,.303,69.1,.270,.347,.413,.761,1.47,1.52,22269,1.8,31.9,17.5,3.95,117.3,,,,,,
68,57,한화,18,5.04,685,1274.0,4.95,5.04,7.94,3.33,2.38,1.16,19.9,8.4,11.6,1.25,.327,69.2,.279,.349,.432,.780,1.47,1.54,22342,1.9,32.6,17.5,3.96,125.4,,,,,,
69,58,LG,18,5.05,601,1268.2,5.32,5.05,7.51,3.21,2.34,1.13,18.6,8.0,10.7,1.19,.329,66.2,.285,.351,.440,.790,1.49,1.56,21711,2.1,36.1,17.1,3.82,58.1,,,,,,
70,59,LG,16,5.06,676,1287.2,5.10,5.06,6.35,3.77,1.69,0.85,15.7,9.3,6.4,1.13,.323,66.6,.285,.363,.415,.778,1.53,1.61,22101,1.9,32.7,17.2,3.82,76.7,,,,,,
71,60,KIA,15,5.07,628,1273.0,4.80,5.07,6.92,4.04,1.71,1.01,17.3,10.1,7.2,1.22,.325,70.7,.283,.366,.436,.802,1.53,1.60,22123,2.0,35.2,17.4,3.90,122.4,,,,,,
72,61,kt,15,5.08,652,1266.2,5.56,5.08,7.43,4.10,1.81,1.09,18.0,10.0,8.1,1.28,.355,66.5,.303,.382,.460,.842,1.65,1.72,22867,1.9,35.1,18.1,3.94,7.9,,,,,,
73,62,롯데,18,5.10,686,1283.2,5.41,5.10,8.16,3.84,2.12,1.16,20.1,9.5,10.6,1.33,.330,65.9,.279,.355,.446,.800,1.53,1.58,22871,1.9,33.3,17.8,3.95,55.2,,,,,,
74,63,두산,14,5.11,564,1123.2,5.44,5.11,6.73,3.60,1.87,0.97,16.6,8.9,7.7,1.15,.337,65.8,.295,.364,.445,.808,1.57,1.62,19670,2.0,34.9,17.5,3.88,25.8,,,,,,
75,64,넥센,16,5.11,608,1280.1,4.96,5.11,6.29,3.06,2.06,1.07,15.7,7.7,8.1,1.04,.328,69.4,.294,.354,.444,.798,1.50,1.55,21627,2.1,35.6,16.9,3.81,101.7,,,,,,
76,65,두산,18,5.12,615,1288.2,5.00,5.12,7.16,3.32,2.15,1.08,18.0,8.4,9.6,1.17,.320,69.5,.279,.351,.430,.781,1.46,1.54,21946,2.1,35.7,17.0,3.85,123.8,,,,,,
77,66,SK,18,5.13,634,1274.2,4.69,5.13,7.98,3.00,2.66,1.33,20.3,7.6,12.7,1.22,.314,70.7,.271,.335,.437,.772,1.40,1.45,21347,2.0,33.7,16.8,3.84,164.3,,,,,,
78,67,SK,17,5.13,608,1270.2,5.03,5.13,6.66,3.41,1.95,1.09,16.5,8.5,8.1,1.12,.326,69.6,.288,.360,.441,.801,1.51,1.60,21752,2.1,35.8,17.1,3.82,94.3,,,,,,
79,68,NC,14,5.14,580,1135.2,4.39,5.14,6.72,3.81,1.76,0.93,16.9,9.6,7.3,1.17,.310,71.6,.271,.351,.409,.760,1.46,1.52,19320,2.0,33.3,17.0,3.86,168.6,,,,,,
80,69,한화,20,5.15,705,1265.0,5.29,5.15,7.25,4.33,1.67,1.12,17.7,10.6,7.1,1.29,.323,67.9,.282,.366,.434,.800,1.59,1.65,22882,1.8,32.5,18.1,3.98,36.4,,,,,,
81,70,넥센,18,5.22,591,1282.0,5.08,5.22,7.17,2.92,2.45,1.25,18.1,7.4,10.7,1.12,.325,68.9,.285,.349,.448,.797,1.45,1.53,21381,2.2,36.2,16.7,3.79,95.1,,,,,,
82,71,삼성,18,5.23,618,1285.1,5.22,5.23,7.80,3.09,2.53,1.30,19.4,7.7,11.7,1.21,.335,69.3,.289,.355,.462,.817,1.49,1.58,22530,2.1,36.5,17.5,3.93,77.1,,,,,,
83,72,SK,16,5.23,600,1274.0,4.94,5.23,6.68,3.72,1.79,1.07,16.7,9.3,7.4,1.16,.317,67.8,.280,.355,.428,.783,1.50,1.56,21558,2.1,35.9,16.9,3.81,101.5,,,,,,
84,73,kt,16,5.23,693,1273.0,5.93,5.23,6.93,3.96,1.75,1.03,16.6,9.5,7.1,1.21,.357,64.4,.310,.384,.471,.855,1.69,1.76,23327,1.8,33.7,18.3,3.96,-51.5,,,,,,
85,74,KIA,18,5.23,575,1270.2,5.43,5.23,7.20,3.15,2.29,1.28,17.8,7.8,10.0,1.15,.337,67.7,.297,.358,.463,.821,1.54,1.59,21851,2.2,38.0,17.2,3.83,41.0,,,,,,
86,75,한화,17,5.25,634,1273.0,5.30,5.25,6.46,3.15,2.05,1.17,16.0,7.8,8.2,1.07,.327,67.1,.293,.359,.454,.813,1.51,1.59,22065,2.0,34.8,17.3,3.87,39.9,,,,,,
87,76,KIA,14,5.26,507,1121.2,5.90,5.26,7.19,4.50,1.60,0.93,17.4,10.9,6.5,1.30,.341,64.3,.293,.378,.444,.822,1.65,1.71,20270,2.2,40.0,18.1,3.94,-30.6,,,,,,
