,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,이닝,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,견제아웃,무도,보크,포일,폭투,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,도루,출장,이닝,도루,도실,도루%,도루기회,도루시도%,2,3,4,2,3,4,2,3,4,견제아웃,무도,보크,포일,폭투,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
29,18,한화,21,115,717,1258.2,115,41,73.7,2178,7.2,102,11,2,33,5,3,75.6,68.8,40.0,2,0,11,7,56,,,,,,,,,,,
30,19,넥센,15,114,587,1286.0,114,52,68.7,2146,7.7,103,11,0,47,2,3,68.7,84.6,0.0,24,1,4,11,85,,,,,,,,,,,
31,,두산,14,114,564,1123.2,114,46,71.3,1903,8.4,108,6,0,41,2,2,72.5,75.0,0.0,3,0,4,7,56,,,,,,,,,,,
32,21,두산,15,113,623,1286.0,113,48,70.2,2163,7.4,101,11,1,43,2,3,70.1,84.6,25.0,7,4,11,6,75,,,,,,,,,,,
33,,롯데,15,113,618,1281.1,113,54,67.7,2116,7.9,100,12,1,50,3,1,66.7,80.0,50.0,10,0,3,16,90,,,,,,,,,,,
34,,kt,17,113,588,1256.0,113,43,72.4,2162,7.2,102,11,0,36,5,2,73.9,68.8,0.0,6,1,6,10,77,,,,,,,,,,,
35,24,SSG,22,112,598,1301.1,112,31,78.3,1912,7.5,101,10,1,26,2,3,79.5,83.3,25.0,7,0,2,4,74,,,,,,,,,,,
36,25,SK,15,110,621,1280.2,110,51,68.3,2031,7.9,96,14,0,45,2,4,68.1,87.5,0.0,7,3,4,7,73,,,,,,,,,,,
37,,SK,16,110,600,1274.0,110,64,63.2,2157,8.1,97,13,0,57,3,4,63.0,81.3,0.0,5,3,7,4,65,,,,,,,,,,,
38,27,한화,14,109,530,1129.0,109,58,65.3,2142,7.8,101,11,0,52,6,1,66.0,64.7,0.0,7,0,3,12,83,,,,,,,,,,,
39,28,SK,19,108,628,1292.1,108,31,77.7,1869,7.4,97,10,1,24,5,2,80.2,66.7,33.3,8,1,4,3,50,,,,,,,,,,,
40,29,한화,19,107,649,1268.2,107,49,68.6,2175,7.2,96,11,0,43,5,1,69.1,68.8,0.0,5,0,4,10,66,,,,,,,,,,,
41,30,KT,18,106,631,1274.1,106,42,71.6,2144,6.9,91,13,2,35,4,3,72.2,76.5,40.0,8,0,1,21,63,,,,,,,,,,,
42,,SSG,21,106,660,1276.2,106,46,69.7,2156,7.1,98,8,0,44,0,2,69.0,100.0,0.0,14,1,9,12,41,,,,,,,,,,,
43,32,롯데,22,105,675,1280.2,105,39,72.9,2154,6.7,94,9,2,36,1,2,72.3,90.0,50.0,2,2,1,11,71,,,,,,,,,,,
44,33,롯데,18,104,686,1283.2,104,41,71.7,2172,6.7,97,5,2,36,3,2,72.9,62.5,50.0,5,0,7,14,65,,,,,,,,,,,
45,,SK,14,104,556,1129.1,104,51,67.1,1937,8.0,93,8,1,44,6,1,67.9,57.1,50.0,3,0,1,6,67,,,,,,,,,,,
46,35,삼성,18,103,618,1285.1,103,38,73.1,2064,6.8,96,7,0,35,1,2,73.3,87.5,0.0,4,1,5,7,45,,,,,,,,,,,
47,,LG,18,103,601,1268.2,103,41,71.5,2084,6.9,93,9,1,36,5,0,72.1,64.3,100.0,7,0,4,10,72,,,,,,,,,,,
48,,롯데,21,103,732,1271.0,103,44,70.1,2214,6.6,92,11,0,41,3,0,69.2,78.6,,6,0,5,8,102,,,,,,,,,,,
49,38,삼성,14,101,543,1144.0,101,44,69.7,1735,8.4,92,9,0,40,2,1,69.7,81.8,0.0,7,0,3,8,51,,,,,,,,,,,
50,39,LG,21,100,697,1272.1,100,40,71.4,1957,7.2,92,8,0,34,4,2,73.0,66.7,0.0,3,0,5,12,44,,,,,,,,,,,
51,40,넥센,16,99,608,1280.1,99,60,62.3,2086,7.6,90,9,0,54,4,2,62.5,69.2,0.0,7,3,3,11,50,,,,,,,,,,,
52,41,SK,18,98,634,1274.2,98,39,71.5,1931,7.1,87,9,2,36,1,2,70.7,90.0,50.0,4,1,2,6,62,,,,,,,,,,,
