,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,선발,선발,선발,선발,선발,QS,%,QS+,%,QK,TL,CW,득점지원,등판시 팀성적,등판시 팀성적,등판시 팀성적,구원지원,구원지원,구원지원,구원지원,구원지원,AGS,IP/GS,P/GS,선발WAR,선발WPA,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,선발WAR,등판,이닝,ERA,승,패,QS,%,QS+,%.1,QK,TL,CW,득점지원,승,패,%,BW,BL,LIR,LIS,%,AGS,IP/GS,P/GS,선발WAR,선발WPA,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
74,63,한화,18,7.34,144,723.2,5.46,35,49,45,31.3,14,9.7,43,5,13,5.30,77,67,53.5,13,20,304,108,35.5,45.65,5.03,89.65,7.34,-8.33,,,,,,
75,64,KIA,19,7.34,144,773.2,4.77,41,59,59,41.0,27,18.8,30,12,10,4.56,62,80,43.7,10,17,241,97,40.3,47.30,5.37,90.99,7.34,-4.20,,,,,,
76,65,한화,17,7.25,144,736.1,5.40,36,55,54,37.5,23,16.0,26,8,6,5.40,61,81,43.0,13,15,317,120,37.9,44.61,5.11,87.26,7.25,-10.09,,,,,,
77,66,삼성,18,7.15,144,750.2,5.61,40,49,58,40.3,21,14.6,30,9,10,5.68,68,72,48.6,14,18,183,62,33.9,44.25,5.21,91.84,7.15,-10.51,,,,,,
78,67,KT,19,7.12,144,795.1,4.44,46,53,62,43.1,32,22.2,32,12,9,4.76,71,70,50.4,15,14,200,71,35.5,48.15,5.52,88.24,7.12,-2.82,,,,,,
79,68,KIA,21,7.07,144,712.2,5.04,31,53,39,27.1,11,7.6,51,5,13,4.58,58,76,43.3,10,11,269,120,44.6,46.54,4.95,85.02,7.07,-5.10,,,,,,
80,69,롯데,19,6.81,144,713.2,5.03,27,69,47,32.6,12,8.3,45,12,13,4.12,48,93,34.0,15,12,336,116,34.5,46.15,4.96,85.94,6.81,-6.52,,,,,,
81,70,NC,18,6.72,144,704.0,5.48,25,57,45,31.3,16,11.1,40,4,7,5.29,58,85,40.6,17,14,312,122,39.1,45.17,4.89,87.29,6.72,-9.64,,,,,,
82,71,롯데,21,6.58,144,714.2,5.15,38,47,46,31.9,10,6.9,46,7,11,5.38,65,71,47.8,16,20,303,113,37.3,46.46,4.96,87.49,6.58,-7.65,,,,,,
83,72,한화,21,6.48,144,683.0,4.55,31,60,41,28.5,14,9.7,54,5,10,4.68,49,83,37.1,14,10,340,120,35.3,48.54,4.74,83.92,6.48,-2.86,,,,,,
84,73,롯데,16,6.30,144,752.0,5.78,38,54,50,34.7,16,11.1,27,8,15,6.52,66,78,45.8,15,12,347,133,38.3,44.01,5.22,93.07,6.30,-11.84,,,,,,
85,74,kt,17,6.22,144,747.2,5.72,31,69,49,34.0,15,10.4,27,12,9,4.60,50,94,34.7,10,16,229,98,42.8,43.76,5.19,86.72,6.22,-12.40,,,,,,
86,75,SK,20,5.86,144,732.1,5.35,33,67,47,32.6,15,10.4,40,11,10,5.01,51,92,35.7,14,9,280,119,42.5,45.77,5.09,90.31,5.86,-8.30,,,,,,
87,76,한화,19,5.66,144,748.2,4.87,38,60,48,33.3,27,18.8,41,11,13,4.98,58,86,40.3,18,8,350,135,38.6,46.49,5.20,88.48,5.66,-4.41,,,,,,
88,77,삼성,16,5.66,144,763.2,5.93,42,50,49,34.0,28,19.4,28,9,16,6.47,65,78,45.5,13,22,329,107,32.5,42.49,5.30,93.53,5.66,-14.32,,,,,,
89,78,삼성,19,5.65,144,763.2,4.83,37,60,54,37.5,22,15.3,35,13,13,4.71,60,83,42.0,12,14,236,79,33.5,46.87,5.30,90.19,5.65,-5.17,,,,,,
90,79,한화,14,5.48,130,621.1,6.42,23,58,23,17.7,13,10.0,25,4,8,5.43,49,77,38.9,15,18,291,134,46.1,38.99,4.78,85.89,5.48,-15.32,,,,,,
91,80,NC,17,5.28,144,697.0,5.05,50,46,48,33.3,19,13.2,47,7,18,6.37,79,62,56.0,5,15,284,111,39.1,46.58,4.84,84.19,5.28,-6.40,,,,,,
92,81,kt,15,4.90,144,660.0,5.88,29,60,34,23.6,19,13.2,48,8,11,6.00,52,91,36.4,8,12,337,138,41.0,42.99,4.58,82.01,4.90,-14.40,,,,,,
93,82,한화,15,4.60,144,666.2,5.25,40,47,37,25.7,12,8.3,58,6,15,5.64,68,76,47.2,12,24,389,138,35.5,45.58,4.63,80.35,4.60,-8.91,,,,,,
94,83,kt,16,3.84,144,671.0,6.16,30,67,38,26.4,15,10.4,40,11,17,5.67,53,89,37.3,10,16,398,149,37.4,41.82,4.66,85.89,3.84,-13.41,,,,,,
95,84,두산,22,3.76,144,745.0,4.20,38,53,54,37.5,19,13.2,44,11,13,4.77,60,82,42.3,13,19,327,135,41.3,48.60,5.17,90.86,3.76,-3.40,,,,,,
96,85,한화,20,3.72,144,701.0,5.61,28,72,40,27.8,11,7.6,38,7,7,3.93,46,95,32.6,16,12,283,94,33.2,44.20,4.87,88.74,3.72,-10.34,,,,,,
97,86,한화,16,2.99,144,586.0,6.39,26,49,25,17.4,6,4.2,64,3,13,6.28,66,75,46.8,7,25,433,182,42.0,41.87,4.07,73.82,2.99,-14.00,,,,,,
98,87,한화,22,2.52,144,682.2,4.87,27,61,37,25.7,7,4.9,55,6,12,3.86,46,96,32.4,16,13,275,107,38.9,46.84,4.74,82.23,2.52,-4.33,,,,,,
99,88,SSG,21,2.42,144,674.1,5.22,33,39,42,29.2,11,7.6,50,4,12,5.31,66,64,50.8,13,32,223,71,31.8,47.04,4.68,82.37,2.42,-7.94,,,,,,
100,89,삼성,17,0.70,144,718.0,6.02,34,52,43,29.9,16,11.1,29,7,12,5.54,55,84,39.6,6,23,300,104,34.7,43.22,4.99,87.99,0.70,-14.47,,,,,,
