,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,비율,비율,비율,비율,비율,WAR,WPA,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
25,14,LG,15,22.22,616,3,1,144,64,78,25,44,1279.2,721,660,5599,1352,227,26,125,490,30,98,1063,3,83,4.64,4.53,1.44,101.1,103.3,22.22,-6.96,,,
26,15,키움,19,22.22,611,2,2,144,86,57,39,90,1279.0,572,512,5427,1293,244,24,61,371,3,58,984,6,45,3.60,3.48,1.30,114.9,118.7,22.22,5.42,,,
27,16,넥센,14,21.94,530,0,0,128,78,48,35,55,1131.2,716,668,5107,1299,231,18,142,516,2,61,901,4,55,5.31,5.42,1.60,99.2,98.8,21.94,-5.37,,,
28,17,SK,18,21.78,634,0,0,144,78,65,29,63,1274.2,729,664,5563,1353,232,17,189,425,15,74,1130,2,62,4.69,5.13,1.40,112.1,103.4,21.78,-10.28,,,
29,18,SK,15,21.76,621,3,2,144,69,73,31,60,1280.2,724,673,5646,1358,270,11,153,517,31,70,1149,4,73,4.73,4.68,1.46,102.1,103.8,21.76,-4.73,,,
30,19,NC,15,21.59,635,1,0,144,84,57,37,55,1279.1,655,606,5536,1283,221,17,149,436,13,113,1057,3,60,4.26,4.73,1.34,112.4,103.1,21.59,0.22,,,
31,20,넥센,16,21.57,608,0,0,144,77,66,38,74,1280.1,757,705,5684,1487,249,27,152,435,3,68,895,3,50,4.96,5.11,1.50,106.0,101.4,21.57,-11.47,,,
32,21,두산,17,21.46,590,3,2,144,84,57,35,46,1288.0,678,627,5682,1405,234,31,125,464,11,87,956,4,54,4.38,4.77,1.45,109.9,101.1,21.46,-3.94,,,
33,22,롯데,14,21.29,528,0,0,128,57,68,28,56,1100.0,705,645,4940,1268,243,26,126,456,11,52,756,1,52,5.28,5.33,1.57,103.3,100.2,21.29,-11.89,,,
34,23,두산,21,21.14,658,2,1,144,71,65,28,61,1269.1,656,601,5631,1295,212,21,104,587,16,73,1045,7,52,4.26,4.27,1.48,101.2,101.1,21.14,-0.36,,,
35,24,두산,20,21.06,656,1,0,144,78,61,23,43,1284.2,695,628,5676,1393,258,25,109,477,22,61,1046,4,52,4.40,4.24,1.46,105.3,109.2,21.06,-4.68,,,
36,25,SSG,22,20.71,598,1,0,144,88,52,45,67,1301.1,622,564,5533,1223,174,17,130,457,18,65,1023,2,74,3.90,4.23,1.29,106.7,99.2,20.71,9.02,,,
37,26,KIA,15,20.09,628,1,1,144,67,77,32,65,1273.0,739,679,5673,1371,252,31,143,572,22,98,979,4,80,4.80,5.07,1.53,102.8,97.7,20.09,-8.59,,,
