,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,PF조정,출장,이닝,ERA,FIP,RA,FIPRA,F-E,R-E,BABIP,LOB%,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,kwERA,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,ERA+,출장,이닝,ERA,FIP,RA,FIPRA,F-E,R-E,BABIP,LOB%,ERA,FIP,RA,FIPRA,ERA+,FIP+,kwERA,Unnamed: 21_level_2,Unnamed: 22_level_2,Unnamed: 23_level_2,Unnamed: 24_level_2,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
23,12,NC,15,112.4,635,1279.1,4.26,4.73,4.61,5.18,0.47,0.34,.306,72.5,4.35,4.74,4.70,5.19,112.4,103.1,4.05,,,,,,,,,,,,,,,
24,13,SK,18,112.1,634,1274.2,4.69,5.13,5.15,5.56,0.44,0.46,.314,70.7,4.63,5.03,5.09,5.45,112.1,103.4,3.88,,,,,,,,,,,,,,,
25,,LG,17,112.1,619,1279.0,4.32,4.43,4.76,4.80,0.10,0.44,.310,68.8,4.45,4.57,4.90,4.96,112.1,109.1,3.96,,,,,,,,,,,,,,,
26,15,롯데,17,110.4,623,1287.1,4.57,4.91,4.90,5.32,0.34,0.34,.317,71.9,4.52,4.86,4.85,5.27,110.4,102.6,4.08,,,,,,,,,,,,,,,
27,16,두산,17,109.9,590,1288.0,4.38,4.77,4.74,5.18,0.39,0.36,.322,71.8,4.54,4.93,4.90,5.35,109.9,101.1,4.36,,,,,,,,,,,,,,,
28,17,LG,14,107.6,574,1142.2,4.60,4.91,5.06,5.32,0.31,0.46,.314,68.5,4.89,5.13,5.39,5.56,107.6,102.8,4.47,,,,,,,,,,,,,,,
29,18,키움,20,107.4,730,1280.1,4.39,4.53,4.86,4.96,0.14,0.47,.310,69.3,4.45,4.66,4.92,5.10,107.4,102.5,4.31,,,,,,,,,,,,,,,
30,19,한화,18,107.0,685,1274.0,4.95,5.04,5.38,5.47,0.09,0.42,.327,69.2,4.86,4.91,5.27,5.32,107.0,105.9,4.01,,,,,,,,,,,,,,,
31,20,SSG,22,106.7,598,1301.1,3.90,4.23,4.30,4.73,0.33,0.40,.287,71.8,3.82,4.11,4.21,4.61,106.7,99.2,4.17,,,,,,,,,,,,,,,
32,21,NC,20,106.5,736,1296.2,4.59,4.90,4.96,5.37,0.31,0.37,.299,70.7,4.48,4.83,4.84,5.29,106.5,98.9,4.34,,,,,,,,,,,,,,,
33,22,넥센,16,106.0,608,1280.1,4.96,5.11,5.32,5.59,0.15,0.37,.328,69.4,4.90,5.12,5.26,5.60,106.0,101.4,4.43,,,,,,,,,,,,,,,
34,23,SK,16,105.7,600,1274.0,4.94,5.23,5.54,5.72,0.29,0.60,.317,67.8,4.91,5.18,5.51,5.66,105.7,100.3,4.51,,,,,,,,,,,,,,,
35,24,LG,19,105.5,599,1281.1,3.89,4.16,4.45,4.59,0.27,0.55,.301,70.5,3.96,4.27,4.53,4.71,105.5,97.9,4.42,,,,,,,,,,,,,,,
36,25,두산,20,105.3,656,1284.2,4.40,4.24,4.87,4.64,-0.16,0.47,.326,69.5,4.54,4.37,5.02,4.79,105.3,109.2,4.20,,,,,,,,,,,,,,,
37,,KT,20,105.3,665,1290.1,4.56,4.74,4.99,5.19,0.18,0.43,.303,69.0,4.53,4.76,4.96,5.21,105.3,100.4,4.71,,,,,,,,,,,,,,,
38,,LG,20,105.3,653,1292.2,4.39,4.53,4.83,4.97,0.14,0.44,.313,70.2,4.53,4.69,4.99,5.14,105.3,101.9,4.28,,,,,,,,,,,,,,,
39,28,NC,17,105.2,620,1284.2,4.71,5.02,5.22,5.45,0.31,0.50,.313,69.5,4.74,5.00,5.25,5.43,105.2,99.6,4.07,,,,,,,,,,,,,,,
40,29,키움,22,105.1,649,1296.1,3.80,4.00,4.24,4.48,0.19,0.43,.300,71.6,3.88,4.12,4.32,4.62,105.1,98.9,4.28,,,,,,,,,,,,,,,
41,,삼성,21,105.1,676,1259.0,4.30,4.39,4.70,4.83,0.09,0.41,.312,72.0,4.24,4.32,4.64,4.76,105.1,103.0,4.30,,,,,,,,,,,,,,,
42,,삼성,15,105.1,577,1275.1,4.70,4.72,5.05,5.16,0.02,0.35,.318,70.3,4.65,4.69,5.00,5.13,105.1,104.2,3.72,,,,,,,,,,,,,,,
43,32,롯데,20,104.9,689,1277.1,4.64,4.57,5.07,5.01,-0.07,0.43,.311,68.6,4.55,4.55,4.97,4.99,104.9,105.0,4.21,,,,,,,,,,,,,,,
44,,NC,19,104.9,645,1284.1,4.02,4.22,4.42,4.66,0.21,0.41,.306,71.6,3.98,4.18,4.39,4.61,104.9,100.0,4.31,,,,,,,,,,,,,,,
45,34,NC,22,104.2,681,1286.2,3.91,4.05,4.49,4.54,0.14,0.58,.307,71.2,3.91,4.02,4.50,4.50,104.2,101.4,4.00,,,,,,,,,,,,,,,
46,35,KIA,16,103.7,635,1276.0,4.99,5.03,5.54,5.50,0.04,0.54,.333,68.2,5.00,5.00,5.55,5.47,103.7,103.8,4.56,,,,,,,,,,,,,,,
47,36,롯데,14,103.3,528,1100.0,5.28,5.33,5.77,5.77,0.05,0.49,.329,67.0,5.10,5.26,5.57,5.70,103.3,100.2,4.67,,,,,,,,,,,,,,,
48,37,KIA,17,103.1,582,1290.0,4.82,4.73,5.18,5.13,-0.09,0.36,.340,70.0,4.84,4.72,5.20,5.12,103.1,105.6,4.25,,,,,,,,,,,,,,,
49,38,KIA,15,102.8,628,1273.0,4.80,5.07,5.22,5.54,0.26,0.42,.325,70.7,4.76,5.00,5.18,5.47,102.8,97.7,4.54,,,,,,,,,,,,,,,
50,39,삼성,20,102.6,698,1272.1,4.78,5.03,5.27,5.52,0.25,0.49,.303,69.1,4.66,4.92,5.13,5.39,102.6,97.0,4.57,,,,,,,,,,,,,,,
51,40,키움,21,102.4,629,1261.1,4.33,4.43,4.99,4.87,0.09,0.66,.303,68.7,4.35,4.54,5.01,5.00,102.4,98.1,4.69,,,,,,,,,,,,,,,
52,41,SK,15,102.1,621,1280.2,4.73,4.68,5.09,5.12,-0.05,0.36,.327,70.5,4.79,4.71,5.15,5.15,102.1,103.8,4.06,,,,,,,,,,,,,,,
53,42,삼성,18,101.7,618,1285.1,5.22,5.23,5.62,5.67,0.01,0.40,.335,69.3,5.11,5.17,5.50,5.61,101.7,100.5,3.99,,,,,,,,,,,,,,,
54,43,넥센,18,101.5,591,1282.0,5.08,5.22,5.48,5.66,0.14,0.40,.325,68.9,5.12,5.31,5.52,5.76,101.5,97.8,4.11,,,,,,,,,,,,,,,
55,44,두산,21,101.2,658,1269.1,4.26,4.27,4.65,4.71,0.01,0.39,.317,71.8,4.40,4.41,4.80,4.85,101.2,101.1,4.42,,,,,,,,,,,,,,,
56,45,LG,15,101.1,616,1279.2,4.64,4.53,5.07,4.96,-0.11,0.43,.329,69.1,4.84,4.73,5.28,5.18,101.1,103.3,4.17,,,,,,,,,,,,,,,
57,,두산,18,101.1,615,1288.2,5.00,5.12,5.28,5.55,0.12,0.28,.320,69.5,5.14,5.28,5.43,5.73,101.1,98.4,4.24,,,,,,,,,,,,,,,
58,47,넥센,15,100.6,587,1286.0,4.95,4.81,5.53,5.27,-0.13,0.58,.329,67.4,4.86,4.74,5.43,5.18,100.6,103.2,4.25,,,,,,,,,,,,,,,
59,48,SK,17,100.1,608,1270.2,5.03,5.13,5.43,5.57,0.10,0.40,.326,69.6,4.98,5.05,5.38,5.48,100.1,98.6,4.43,,,,,,,,,,,,,,,
60,49,NC,21,100.0,696,1256.2,4.54,4.51,4.99,4.97,-0.03,0.45,.306,70.4,4.45,4.45,4.89,4.90,100.0,100.1,4.41,,,,,,,,,,,,,,,
61,50,LG,16,99.8,676,1287.2,5.10,5.06,5.64,5.53,-0.04,0.55,.323,66.6,5.20,5.24,5.76,5.73,99.8,99.0,4.63,,,,,,,,,,,,,,,
62,51,넥센,14,99.2,530,1131.2,5.31,5.42,5.69,5.87,0.11,0.38,.337,69.2,5.31,5.33,5.69,5.78,99.2,98.8,4.50,,,,,,,,,,,,,,,
63,52,KT,18,98.7,631,1274.1,5.37,5.31,5.89,5.75,-0.06,0.52,.349,68.8,5.26,5.31,5.77,5.75,98.7,97.9,4.11,,,,,,,,,,,,,,,
64,,롯데,15,98.7,618,1281.1,5.11,4.98,5.63,5.45,-0.12,0.53,.333,68.3,4.95,4.94,5.46,5.40,98.7,99.0,4.30,,,,,,,,,,,,,,,
65,54,넥센,17,98.4,554,1271.0,5.06,4.80,5.41,5.21,-0.26,0.35,.337,68.5,5.07,4.88,5.42,5.30,98.4,102.0,4.09,,,,,,,,,,,,,,,
66,55,한화,15,97.4,672,1279.2,5.11,5.43,5.63,5.94,0.31,0.51,.308,69.0,5.02,5.38,5.52,5.89,97.4,90.9,4.83,,,,,,,,,,,,,,,
67,56,KIA,22,96.8,675,1279.2,4.21,4.27,4.78,4.79,0.06,0.56,.306,70.1,4.21,4.25,4.78,4.76,96.8,95.9,4.30,,,,,,,,,,,,,,,
