,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,평속,출장,이닝,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,직구,출장,이닝,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
20,9,SK,19,144.1,628,1292.1,144.1,134.9,122.1,129.5,131.9,135.7,119.3,,48.8,18.6,13.2,5.6,10.5,3.3,0.0,0.0,68.1,30.1,47.4,84.4,62.6,76.8,45.5,,,,,,,
21,10,SK,18,144.0,634,1274.2,144.0,136.3,121.7,133.4,132.3,136.2,115.5,,47.8,20.8,13.7,7.5,4.1,5.8,0.2,0.0,68.2,29.0,47.4,86.1,59.5,77.4,46.9,,,,,,,
22,11,LG,21,144.0,697,1272.1,144.0,133.9,121.4,129.5,129.1,144.6,,,42.7,24.4,12.3,7.8,1.3,11.6,0.0,0.0,63.2,29.7,44.2,86.7,62.9,77.6,43.2,,,,,,,
23,12,롯데,19,143.9,664,1270.1,143.9,133.6,120.1,131.9,131.6,141.4,,,41.2,20.6,12.6,5.5,11.0,9.1,0.0,0.0,67.0,27.7,44.8,87.1,61.3,78.1,43.4,,,,,,,
24,13,롯데,20,143.7,689,1277.1,143.7,132.2,116.7,132.1,130.8,141.2,107.0,,38.3,25.1,8.0,9.5,10.7,7.8,0.6,0.0,66.7,30.9,46.3,87.0,65.3,78.8,42.9,,,,,,,
25,14,KT,19,143.5,567,1276.0,143.5,130.9,119.8,127.9,130.0,142.4,,,35.2,22.6,7.2,15.4,4.4,15.3,0.0,0.0,67.1,29.5,46.4,88.3,68.0,81.2,45.0,,,,,,,
26,15,KIA,22,143.5,675,1279.2,143.5,131.9,119.8,128.9,135.1,140.4,,,45.3,20.5,9.0,12.7,3.7,8.8,0.0,0.0,66.4,31.3,46.4,87.3,65.8,79.0,42.9,,,,,,,
27,16,키움,21,143.4,629,1261.1,143.4,132.0,121.4,127.6,131.7,139.1,,,30.9,16.9,12.4,12.4,2.7,24.8,0.0,0.0,64.2,28.4,43.9,87.8,65.8,79.8,43.4,,,,,,,
28,17,LG,18,143.4,601,1268.2,143.4,131.2,116.4,123.0,131.4,143.2,,,46.1,24.6,11.6,4.3,8.4,4.9,0.0,0.0,65.2,33.1,47.1,86.2,69.4,79.6,43.6,,,,,,,
29,18,KT,21,143.3,613,1262.2,143.3,133.0,122.7,126.4,131.7,142.1,,,34.5,23.4,8.1,17.4,3.6,12.9,0.0,0.0,65.7,31.0,46.3,85.4,63.7,77.3,44.1,,,,,,,
30,19,KIA,18,143.3,575,1270.2,143.3,132.1,119.9,127.5,133.3,138.2,125.6,126.5,51.0,19.5,8.7,10.8,5.5,4.2,0.1,0.0,69.0,31.5,47.9,86.1,67.4,79.2,43.7,,,,,,,
31,20,두산,20,143.3,656,1284.2,143.3,132.6,117.0,128.6,132.1,132.4,,,51.3,19.7,7.7,8.0,5.4,7.9,0.0,0.0,66.9,28.7,45.9,86.8,66.0,79.6,45.0,,,,,,,
32,21,삼성,22,143.3,686,1287.0,143.3,132.3,119.8,129.1,129.5,142.1,,,42.7,25.9,8.1,12.9,3.8,6.7,0.0,0.0,67.0,31.3,46.6,86.6,67.0,79.1,42.7,,,,,,,
33,22,롯데,18,143.2,686,1283.2,143.2,132.6,118.9,131.3,130.9,140.9,116.5,,37.0,22.5,11.6,6.3,11.8,10.8,0.0,0.0,67.1,28.5,45.4,85.9,60.5,77.0,43.8,,,,,,,
34,23,두산,21,143.2,658,1269.1,143.2,130.8,118.1,130.9,129.0,140.5,,,52.7,18.5,6.5,7.3,7.9,7.2,0.0,0.0,65.4,27.5,44.4,87.5,65.1,79.8,44.4,,,,,,,
35,24,LG,15,143.1,616,1279.2,143.1,130.9,120.3,127.5,131.2,139.5,127.0,116.8,51.6,20.4,10.4,8.3,3.3,4.2,0.0,1.8,62.6,22.2,45.2,84.6,58.1,79.0,56.9,,,,,,,
36,25,LG,17,143.0,619,1279.0,143.0,132.6,113.3,125.6,130.7,139.5,,118.3,45.7,25.1,11.1,8.0,7.1,2.5,0.0,0.5,67.0,29.5,46.5,86.9,67.4,80.2,45.4,,,,,,,
37,26,LG,20,142.8,653,1292.2,142.8,133.0,120.8,126.6,130.0,142.3,,127.0,34.9,21.3,15.8,6.6,4.7,16.7,0.0,0.0,64.5,28.9,45.1,88.3,63.2,79.5,45.5,,,,,,,
38,27,한화,22,142.8,749,1268.1,142.8,131.3,118.3,128.6,128.6,144.8,,,48.0,17.1,12.4,8.0,9.9,4.6,0.0,0.0,66.0,29.0,44.3,87.9,66.4,79.6,41.2,,,,,,,
39,28,NC,21,142.8,696,1256.2,142.8,132.5,123.6,126.3,129.5,144.7,,,38.8,25.2,6.2,10.6,10.4,9.0,0.0,0.0,65.3,28.4,44.6,86.9,62.1,78.1,43.8,,,,,,,
40,29,LG,19,142.7,599,1281.1,142.7,131.7,121.0,127.2,128.8,142.1,,,34.8,20.0,14.5,6.9,4.5,19.4,0.0,0.0,65.9,29.6,45.4,88.1,67.0,80.3,43.5,,,,,,,
41,30,KIA,16,142.7,635,1276.0,142.7,130.4,118.7,129.9,130.0,144.3,,52.8,50.5,23.9,7.9,6.6,3.1,7.5,0.0,0.5,64.1,25.0,46.0,86.9,59.8,80.1,53.7,,,,,,,
42,31,NC,17,142.6,620,1284.2,142.6,130.2,119.6,126.0,131.2,140.1,,100.8,42.0,25.6,6.3,9.2,7.4,9.3,0.0,0.1,68.4,28.6,46.0,86.0,61.8,77.5,43.8,,,,,,,
43,32,한화,18,142.6,685,1274.0,142.6,131.0,117.9,128.7,129.2,142.7,139.0,,46.5,16.3,7.8,10.2,10.0,9.2,0.0,0.0,67.3,28.1,44.9,86.2,64.3,78.3,42.7,,,,,,,
44,33,키움,19,142.6,611,1279.0,142.6,132.7,121.3,128.2,131.4,141.4,,,33.7,17.9,11.2,12.5,4.7,19.9,0.0,0.0,65.8,31.1,46.3,88.4,66.2,80.1,44.0,,,,,,,
45,34,삼성,15,142.6,577,1275.1,142.6,130.1,118.6,130.0,132.3,140.6,,105.1,50.5,24.7,9.9,4.3,2.5,3.4,0.0,4.7,63.2,29.1,45.4,86.3,64.2,78.9,47.9,,,,,,,
46,35,SSG,21,142.6,660,1276.2,142.6,130.8,119.9,128.2,130.5,138.2,135.0,,45.6,22.2,7.9,7.2,9.4,7.6,0.0,0.0,64.4,28.6,43.9,87.1,64.7,78.8,42.8,,,,,,,
