,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,이닝,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,타구 방향별 타율,타구 방향별 타율,타구 방향별 타율,타구 방향별 타율,타구 방향별 타율,BABIP,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,BABIP,출장,이닝,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀,BABIP,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
0,1,리그,21,.304,6754,12656.2,40.2,22.8,37.0,39.3,37.9,15347,8708,14140,15024,14463,4702,3674,4182,4529,4355,.306,.422,.296,.302,.301,.304,,,,,,,,,
1,2,리그,22,.307,6719,12854.2,40.0,23.0,37.0,39.5,37.5,15514,8931,14363,15340,14537,4710,3767,4325,4570,4465,.304,.422,.301,.298,.307,.307,,,,,,,,,
2,3,리그,19,.310,6214,12775.0,40.1,23.2,36.8,39.8,37.0,15866,9181,14568,15762,14672,4944,3981,4213,4802,4355,.312,.434,.289,.305,.297,.310,,,,,,,,,
3,4,리그,20,.313,6857,12788.0,40.2,23.4,36.5,39.5,37.1,15977,9294,14521,15737,14761,5051,4162,4327,4926,4452,.316,.448,.298,.313,.302,.313,,,,,,,,,
4,5,리그,15,.326,6229,12787.2,41.5,23.3,35.2,39.6,37.1,16110,9030,13646,15358,14398,5268,4382,4151,4950,4469,.327,.485,.304,.322,.310,.326,,,,,,,,,
5,6,리그,17,.327,6031,12781.0,41.6,23.1,35.3,40.0,36.9,16798,9316,14221,16142,14877,5604,4380,4411,5247,4768,.334,.470,.310,.325,.321,.327,,,,,,,,,
6,7,리그,18,.329,6258,12766.0,41.1,22.9,36.0,40.0,37.0,16372,9143,14341,15952,14761,5625,4387,4430,5295,4760,.344,.480,.309,.332,.323,.329,,,,,,,,,
7,8,리그,14,.330,4937,10191.0,42.2,21.1,36.6,40.8,38.0,13581,6797,11788,13141,12228,4817,2862,3837,4562,4092,.355,.421,.326,.347,.335,.330,,,,,,,,,
