,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,구원,구원,구원,구원,구원,홀드,세,BLSV,BLH,BL+,세%,R-Pnt,SVP,터프 상황,터프 상황,터프 상황,IR,IS,Rel%,enLI,avLI,구원WAR,구원WPA,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,구원WAR,등판,이닝,ERA,승,패,홀드,세,BLSV,BLH,BL+,세%,R-Pnt,SVP,홀드,세,블론,IR,IS,Rel%,enLI,avLI,구원WAR,구원WPA,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
25,14,한화,16,10.13,536,706.2,5.25,40,26,39,24,13,5,18,64.9,76,64,10,2,8,454,182,40.1,0.81,0.93,10.13,-5.06,,,,,,,,,
26,15,두산,21,9.97,514,543.1,4.06,27,21,61,28,14,9,23,66.7,72,55,14,4,8,341,98,28.7,0.83,0.91,9.97,2.07,,,,,,,,,
27,16,NC,14,9.84,452,443.1,4.39,28,21,59,31,19,0,19,62.0,74,59,28,5,11,301,91,30.2,0.92,1.04,9.84,-3.14,,,,,,,,,
28,17,키움,19,9.61,467,488.2,3.39,28,24,90,39,11,5,16,78.0,107,67,7,4,2,196,53,27.0,0.85,1.03,9.61,4.19,,,,,,,,,
29,18,넥센,16,9.51,464,539.1,4.54,28,22,74,38,17,6,23,69.1,99,66,13,7,12,232,89,38.4,0.83,0.99,9.51,-3.78,,,,,,,,,
30,19,KT,21,9.17,469,450.2,3.66,23,17,74,33,16,5,21,67.4,82,56,15,3,6,227,70,30.8,0.85,0.99,9.17,0.94,,,,,,,,,
31,20,두산,17,9.09,446,487.0,4.31,33,16,46,35,13,2,15,72.9,116,68,6,3,8,259,82,31.7,0.73,0.98,9.09,-0.66,,,,,,,,,
32,21,KIA,18,9.08,431,522.2,5.06,27,24,43,26,19,8,27,57.8,50,53,4,4,10,295,109,37.0,0.80,0.93,9.08,-6.96,,,,,,,,,
33,22,KIA,15,9.02,484,568.2,4.73,26,25,65,32,18,3,21,64.0,67,58,12,5,12,323,107,33.1,0.83,0.94,9.02,-3.75,,,,,,,,,
34,23,KT,20,8.91,521,510.1,4.69,28,23,71,33,23,2,25,58.9,67,61,10,4,7,262,93,35.5,0.81,1.02,8.91,-3.98,,,,,,,,,
35,24,삼성,14,8.86,415,404.2,4.87,25,18,65,35,18,0,18,66.0,87,60,22,4,11,279,87,31.2,0.83,1.09,8.86,-3.83,,,,,,,,,
36,25,롯데,14,8.80,400,408.0,5.32,14,20,56,28,13,0,13,68.3,50,42,18,4,6,282,94,33.3,0.88,0.93,8.80,-2.93,,,,,,,,,
37,26,한화,20,8.60,561,564.0,4.90,18,23,54,21,13,7,20,61.8,29,39,10,2,3,288,94,32.6,0.73,0.81,8.60,-2.13,,,,,,,,,
38,27,NC,15,8.24,491,522.1,4.50,21,19,55,37,11,4,15,77.1,98,58,8,5,4,297,89,30.0,0.71,0.90,8.24,0.27,,,,,,,,,
39,28,LG,15,8.24,472,500.1,4.75,26,24,44,25,17,4,21,59.5,47,51,6,2,11,357,134,37.5,0.82,0.97,8.24,-2.96,,,,,,,,,
40,29,롯데,20,8.22,545,513.2,4.94,24,24,59,25,18,6,24,58.1,41,49,11,2,9,259,100,38.6,0.79,0.92,8.22,-8.59,,,,,,,,,
41,30,롯데,18,8.11,542,543.1,5.05,31,25,64,29,22,9,31,56.9,58,60,11,3,10,321,119,37.1,0.79,0.96,8.11,-5.29,,,,,,,,,
42,31,NC,22,8.09,537,537.0,4.24,27,21,54,25,15,4,19,62.5,60,52,11,3,6,284,101,35.6,0.83,0.97,8.09,0.97,,,,,,,,,
43,32,SSG,21,8.02,516,602.1,4.42,33,25,56,25,24,3,27,51.0,44,58,8,1,5,229,71,31.0,0.81,1.06,8.02,-1.48,,,,,,,,,
44,33,kt,15,7.92,508,606.2,5.21,23,31,31,16,11,5,16,59.3,12,39,8,2,5,355,138,38.9,0.68,0.75,7.92,-7.52,,,,,,,,,
45,34,KIA,21,7.88,532,556.1,4.76,27,23,94,36,15,2,17,70.6,91,63,13,5,7,279,120,43.0,0.90,1.04,7.88,-0.66,,,,,,,,,
46,35,두산,14,7.82,436,452.0,5.42,21,21,61,19,14,2,16,57.6,30,40,22,1,7,279,101,36.2,0.72,0.86,7.82,-4.74,,,,,,,,,
47,36,KIA,14,7.76,379,473.1,5.84,17,26,40,26,21,1,22,55.3,19,43,18,1,12,257,114,44.4,0.81,0.88,7.76,-7.20,,,,,,,,,
48,37,SK,16,7.50,456,518.0,4.90,22,21,43,31,12,3,15,72.1,74,53,4,3,12,297,113,38.1,0.77,0.90,7.50,-2.49,,,,,,,,,
49,38,넥센,15,7.46,443,561.2,4.90,29,24,44,29,11,9,20,72.5,79,58,4,4,6,249,104,41.8,0.72,0.92,7.46,-4.68,,,,,,,,,
50,39,한화,15,7.31,528,613.0,4.96,28,29,44,32,14,5,19,69.6,70,60,7,4,8,437,138,31.6,0.76,0.93,7.31,-6.06,,,,,,,,,
51,40,LG,20,7.12,509,495.2,4.61,27,18,67,29,19,2,21,60.4,72,56,13,5,7,296,92,31.1,0.84,0.94,7.12,0.24,,,,,,,,,
52,41,KT,18,7.02,487,492.0,5.14,23,29,45,24,17,8,25,58.5,30,47,11,4,7,251,93,37.1,0.87,0.96,7.02,-7.99,,,,,,,,,
53,42,NC,20,6.96,592,542.2,4.84,24,21,88,31,18,3,21,63.3,68,55,26,5,8,352,106,30.1,0.89,0.96,6.96,-1.67,,,,,,,,,
54,43,LG,19,6.91,455,495.1,3.82,27,18,61,42,13,2,15,76.4,120,69,11,2,4,246,76,30.9,0.87,1.01,6.91,4.74,,,,,,,,,
55,44,삼성,16,6.89,503,518.2,5.22,23,28,60,34,18,2,20,65.4,58,57,13,2,8,353,107,30.3,0.77,0.90,6.89,-5.87,,,,,,,,,
56,45,두산,20,6.78,512,511.0,4.70,23,23,43,23,14,4,18,62.2,41,46,5,0,5,309,116,37.5,0.77,0.89,6.78,-4.70,,,,,,,,,
57,46,SK,14,6.78,428,453.0,5.56,22,19,44,26,15,2,17,63.4,57,48,22,3,9,342,122,35.7,0.83,0.92,6.78,-8.99,,,,,,,,,
58,47,두산,18,6.74,471,523.0,5.13,24,20,56,41,17,2,19,70.7,108,65,6,11,6,317,109,34.4,0.84,0.94,6.74,-1.79,,,,,,,,,
59,48,두산,19,6.63,477,457.1,3.64,25,21,69,44,15,2,17,74.6,118,69,16,8,8,304,98,32.2,0.96,1.05,6.63,1.62,,,,,,,,,
60,49,한화,17,6.58,490,536.2,5.15,25,26,49,31,21,5,26,59.6,53,56,11,4,11,343,120,35.0,0.87,0.94,6.58,-8.07,,,,,,,,,
61,50,KIA,19,6.58,459,490.1,4.50,21,20,64,30,12,5,17,71.4,69,51,8,1,4,263,97,36.9,0.82,0.86,6.58,-1.19,,,,,,,,,
62,51,kt,17,6.46,444,508.1,5.86,19,25,41,22,18,1,19,55.0,21,41,6,3,5,237,98,41.4,0.74,0.80,6.46,-7.33,,,,,,,,,
63,52,LG,16,6.36,532,543.2,4.87,29,27,75,34,16,8,24,68.0,82,63,26,8,17,467,166,35.6,0.98,1.06,6.36,-3.79,,,,,,,,,
64,53,키움,22,6.35,505,514.1,4.41,31,22,84,48,18,7,25,72.7,126,79,7,0,3,168,58,34.5,0.88,1.20,6.35,2.39,,,,,,,,,
65,54,삼성,17,6.04,469,563.1,5.75,21,32,34,27,12,4,16,69.2,38,48,4,3,4,318,104,32.7,0.75,0.91,6.04,-5.76,,,,,,,,,
66,55,한화,19,5.91,505,520.0,4.74,20,26,43,28,17,6,23,62.2,42,48,13,4,11,370,135,36.5,0.86,0.97,5.91,-2.50,,,,,,,,,
67,56,삼성,15,5.83,433,425.1,4.66,23,12,60,34,10,3,13,77.3,106,57,9,2,7,191,67,35.1,0.67,0.85,5.83,0.06,,,,,,,,,
68,57,한화,14,5.78,400,507.2,6.33,26,19,30,26,11,2,13,70.3,72,52,19,2,8,305,134,43.9,0.73,0.84,5.78,-7.81,,,,,,,,,
69,58,삼성,19,5.75,483,511.2,4.36,23,23,60,29,15,1,16,65.9,61,52,13,4,7,250,79,31.6,0.82,0.96,5.75,-1.50,,,,,,,,,
70,59,KIA,20,5.72,495,500.2,5.75,24,20,79,33,16,-1,15,67.4,78,57,23,3,7,349,109,31.2,0.92,0.92,5.72,-3.28,,,,,,,,,
71,60,KIA,16,5.71,491,509.1,5.35,27,25,74,38,21,4,25,64.4,81,65,14,5,10,353,119,33.7,0.92,0.97,5.71,-6.61,,,,,,,,,
72,61,넥센,17,5.65,410,495.0,5.49,17,31,66,40,18,-3,15,69.0,56,57,7,0,2,168,57,33.9,0.77,0.93,5.65,-8.71,,,,,,,,,
73,62,NC,21,5.62,552,510.0,4.52,18,23,80,33,16,7,23,67.4,59,51,14,2,5,280,112,40.0,0.85,0.94,5.62,-4.22,,,,,,,,,
74,63,롯데,22,5.54,531,528.0,4.86,20,23,68,33,14,6,20,70.2,69,53,8,4,2,321,117,36.5,0.83,0.95,5.54,-0.86,,,,,,,,,
75,64,삼성,20,5.32,554,501.2,5.47,17,29,80,25,18,3,21,58.1,19,42,13,4,8,257,91,35.4,0.83,0.98,5.32,-3.88,,,,,,,,,
76,65,KT,19,5.19,423,480.2,4.10,25,17,59,37,9,7,16,80.4,113,62,8,4,2,203,71,35.0,0.74,0.97,5.19,1.38,,,,,,,,,
77,66,롯데,19,4.99,520,556.2,4.67,21,24,47,16,16,4,20,50.0,14,37,5,4,6,347,116,33.4,0.79,0.86,4.99,-6.36,,,,,,,,,
