,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,가치,출장,이닝,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,직구,출장,이닝,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,Unnamed: 22_level_2,Unnamed: 23_level_2,Unnamed: 24_level_2,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
22,11,KT,21,34.6,613,1262.2,34.6,34.8,10.3,28.1,4.4,22.9,0.0,0.0,0.48,0.72,0.61,0.78,0.59,0.86,,,,,,,,,,,,,,,,
23,12,NC,16,34.1,628,1286.1,34.1,36.3,-13.3,-9.5,-4.5,-7.4,0.0,3.1,0.31,0.73,-1.01,-0.48,-0.30,-0.63,,0.01,,,,,,,,,,,,,,
24,13,두산,21,31.4,658,1269.1,31.4,16.1,-3.3,8.7,15.9,-4.8,0.0,0.0,0.27,0.40,-0.23,0.55,0.92,-0.31,,,,,,,,,,,,,,,,
25,14,NC,19,30.7,645,1284.1,30.7,43.7,-8.1,8.7,6.5,2.8,0.0,0.0,0.34,0.80,-0.61,0.36,0.48,0.16,,,,,,,,,,,,,,,,
26,15,키움,22,30.3,649,1296.1,30.3,72.8,4.6,14.5,-1.1,-6.2,0.0,0.0,0.46,1.59,0.17,0.61,-0.19,-0.13,0.45,,,,,,,,,,,,,,,
27,16,NC,15,27.9,635,1279.1,27.9,33.7,14.4,-9.9,4.3,5.7,0.1,-8.2,0.27,0.70,0.61,-0.57,0.62,0.76,6.10,-0.01,,,,,,,,,,,,,,
28,17,두산,16,22.2,579,1287.2,22.2,16.4,-4.6,6.6,0.4,4.4,0.0,1.4,0.20,0.33,-0.25,0.46,0.03,0.61,,0.01,,,,,,,,,,,,,,
29,18,NC,22,21.7,681,1286.2,21.7,26.0,8.0,21.6,5.2,3.5,0.0,0.0,0.23,0.50,0.49,0.96,0.27,0.24,,,,,,,,,,,,,,,,
30,19,키움,19,21.1,611,1279.0,21.1,34.8,24.3,40.0,2.7,19.8,0.0,0.0,0.31,0.96,1.08,1.58,0.29,0.49,,,,,,,,,,,,,,,,
31,20,NC,14,16.6,580,1135.2,16.6,-15.5,13.2,10.3,5.9,-1.5,0.0,-1.9,0.13,-0.73,0.69,0.55,1.08,-1.94,,-0.01,,,,,,,,,,,,,,
