,순,이름,팀,비율,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,비율,비율,비율,비율
,순,이름,팀,타율,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율.1,출루,장타,OPS
0,1.0,송승환,22두,1.0,1,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0
1,,김민혁,22두,1.0,4,1,0,1,0,0,0,1,2,0,0,3,0,0,0,0,0,0,1.0,1.0,1.0,2.0
2,3.0,안권수,22두,0.667,9,6,4,4,0,0,0,4,5,0,0,3,0,0,0,0,0,0,0.667,0.778,0.667,1.444
3,4.0,허경민,22두,0.5,11,8,3,4,1,0,0,5,6,0,0,3,0,0,0,0,0,0,0.5,0.636,0.625,1.261
4,,조수행,22두,0.5,6,4,5,2,1,0,0,3,2,0,0,2,0,0,1,0,0,0,0.5,0.667,0.75,1.417
5,,박유연,22두,0.5,2,2,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1.0
6,7.0,안재석,22두,0.375,14,8,1,3,0,0,0,3,3,0,0,6,0,0,3,0,0,0,0.375,0.643,0.375,1.018
7,8.0,강진성,22두,0.333,6,3,0,1,1,0,0,2,2,0,0,3,0,0,1,0,0,0,0.333,0.667,0.667,1.333
8,9.0,페르난데스,22두,0.294,22,17,4,5,0,0,1,8,8,0,0,5,0,0,3,2,0,0,0.294,0.455,0.471,0.925
9,10.0,박세혁,22두,0.286,14,7,3,2,0,0,0,2,4,0,0,6,0,0,1,0,0,1,0.286,0.571,0.286,0.857
10,,김인태,22두,0.286,12,7,3,2,0,0,0,2,2,0,0,5,0,0,2,0,0,0,0.286,0.583,0.286,0.869
11,12.0,강승호,22두,0.2,15,10,4,2,0,0,0,2,2,0,0,4,0,0,3,0,0,1,0.2,0.4,0.2,0.6
12,,양석환,22두,0.2,12,10,5,2,0,0,0,2,1,0,0,1,1,0,5,0,0,0,0.2,0.333,0.2,0.533
13,14.0,김재환,22두,0.182,24,11,4,2,1,0,0,3,3,0,0,13,0,0,5,0,0,0,0.182,0.625,0.273,0.898
14,15.0,정수빈,22두,0.111,14,9,10,1,0,0,0,1,2,0,0,5,0,0,2,0,0,0,0.111,0.429,0.111,0.54
15,16.0,김재호,22두,0.0,6,2,2,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0.0,0.667,0.0,0.667
16,,장승현,22두,0.0,3,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.333,0.0,0.333
17,,안승한,22두,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0
18,,박계범,22두,0.0,3,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.0,0.333,0.0,0.333
19,,김대한,22두,0.0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.0,0.25,0.0,0.25
20,,양찬열,22두,0.0,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.333,0.0,0.333
21,,서예일,22두,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22,,이유찬,22두,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
23,24.0,홍성호,22두,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
24,,전민재,22두,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
25,,최용제,22두,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.0,,
