,순,이름,팀,정렬,BB%,K%,HR%,BB/K,IsoP,IsoD,BABIP,Spd,PSN,WPA,WPA/LI,Clutch,투구,P/PA,스트라이크 비율,스트라이크 비율,스트라이크 비율,스트라이크 비율,투구 비율%,투구 비율%,컨택%
,순,이름,팀,WPA,BB%,K%,HR%,BB/K,IsoP,IsoD,BABIP,Spd,PSN,WPA,WPA/LI,Clutch,투구,P/PA,루킹,헛스윙,파울,타격,S,B,컨택%
0,1.0,허경민,22두,0.61,27.3,0.0,0.0,,0.125,0.136,0.5,3.6,,0.61,0.33,-0.02,74,6.73,34.2,2.6,42.1,21.1,51.4,48.7,96.0
1,2.0,송승환,22두,0.41,0.0,0.0,0.0,,0.0,0.0,1.0,3.9,,0.41,0.05,0.0,7,7.0,25.0,0.0,50.0,25.0,57.1,42.9,100.0
2,3.0,안재석,22두,0.35,42.9,21.4,0.0,2.0,0.0,0.268,0.6,2.0,,0.35,0.2,0.01,89,6.36,24.4,29.3,34.2,12.2,46.1,53.9,61.3
3,4.0,안권수,22두,0.26,33.3,0.0,0.0,,0.0,0.111,0.667,3.9,,0.26,0.18,0.04,63,7.0,30.3,6.1,45.5,18.2,52.4,47.6,91.3
4,5.0,강진성,22두,0.24,50.0,16.7,0.0,3.0,0.333,0.333,0.5,1.9,,0.24,0.13,0.03,40,6.67,31.6,10.5,47.4,10.5,47.5,52.5,84.6
5,6.0,페르난데스,22두,0.22,22.7,13.6,4.55,1.67,0.177,0.16,0.308,1.3,0.0,0.22,0.14,0.0,148,6.73,22.1,10.4,49.4,18.2,52.0,48.0,86.7
6,7.0,김인태,22두,0.2,41.7,16.7,0.0,2.5,0.0,0.298,0.4,3.6,,0.2,0.08,0.07,85,7.08,27.3,20.5,40.9,11.4,51.8,48.2,71.9
7,8.0,김재환,22두,0.19,54.2,20.8,0.0,2.6,0.091,0.443,0.333,2.7,,0.19,0.15,-0.03,156,6.5,22.5,26.8,42.3,8.5,45.5,54.5,65.5
8,9.0,정수빈,22두,0.17,35.7,14.3,0.0,2.5,0.0,0.317,0.143,3.9,,0.17,-0.04,0.15,101,7.21,27.8,16.7,42.6,13.0,53.5,46.5,76.9
9,10.0,김재호,22두,0.13,66.7,16.7,0.0,4.0,0.0,0.667,0.0,3.9,,0.13,0.03,0.02,40,6.67,38.9,16.7,38.9,5.6,45.0,55.0,72.7
10,11.0,김민혁,22두,0.11,75.0,0.0,0.0,,0.0,0.0,1.0,1.9,,0.11,0.14,-0.04,27,6.75,33.3,8.3,50.0,8.3,44.4,55.6,87.5
11,12.0,양석환,22두,0.08,8.3,41.7,0.0,0.2,0.0,0.133,0.4,3.9,,0.08,-0.1,0.17,89,7.42,32.7,14.3,42.9,10.2,55.1,44.9,78.8
12,13.0,박세혁,22두,0.08,42.9,7.1,0.0,6.0,0.0,0.286,0.286,3.3,,0.08,0.11,-0.07,96,6.86,14.6,8.3,62.5,14.6,50.0,50.0,90.2
13,14.0,양찬열,22두,0.06,33.3,0.0,0.0,,0.0,0.333,0.0,1.9,,0.06,0.02,0.03,20,6.67,10.0,30.0,40.0,20.0,50.0,50.0,66.7
14,15.0,박유연,22두,0.05,0.0,50.0,0.0,0.0,0.0,0.0,1.0,1.9,,0.05,0.06,0.06,12,6.0,50.0,33.3,0.0,16.7,50.0,50.0,33.3
15,16.0,최용제,22두,0.03,0.0,0.0,0.0,,,,,,,0.03,0.01,0.0,5,5.0,0.0,0.0,100.0,0.0,40.0,60.0,100.0
16,17.0,전민재,22두,0.0,,,,,,,,,,0.0,0.0,,0,,,,,,,,
17,,홍성호,22두,0.0,,,,,,,,,,0.0,0.0,,0,,,,,,,,
18,19.0,서예일,22두,-0.01,0.0,0.0,0.0,,0.0,0.0,0.0,,,-0.01,-0.02,0.0,7,7.0,0.0,0.0,75.0,25.0,57.1,42.9,100.0
19,20.0,이유찬,22두,-0.02,0.0,100.0,0.0,0.0,0.0,0.0,,,,-0.02,-0.03,0.0,10,10.0,14.3,0.0,85.7,0.0,70.0,30.0,100.0
20,21.0,조수행,22두,-0.04,33.3,16.7,0.0,2.0,0.25,0.167,0.667,3.9,,-0.04,0.01,-0.03,38,6.33,16.7,38.9,27.8,16.7,47.4,52.6,53.3
21,22.0,김대한,22두,-0.06,0.0,50.0,0.0,0.0,0.0,0.25,0.0,1.9,,-0.06,-0.08,-0.02,27,6.75,14.3,35.7,42.9,7.1,51.9,48.2,58.3
22,23.0,안승한,22두,-0.06,0.0,100.0,0.0,0.0,0.0,0.0,,,,-0.06,-0.08,-0.0,19,6.33,30.0,40.0,30.0,0.0,52.6,47.4,42.9
23,24.0,박계범,22두,-0.1,33.3,66.7,0.0,0.5,0.0,0.333,,,,-0.1,-0.06,-0.01,18,6.0,25.0,37.5,37.5,0.0,44.4,55.6,50.0
24,25.0,장승현,22두,-0.13,33.3,33.3,0.0,1.0,0.0,0.333,0.0,3.9,,-0.13,-0.07,-0.02,19,6.33,33.3,22.2,33.3,11.1,47.4,52.6,66.7
25,26.0,강승호,22두,-0.19,26.7,20.0,0.0,1.33,0.0,0.2,0.25,3.9,,-0.19,-0.07,-0.11,97,6.47,20.8,20.8,41.7,16.7,49.5,50.5,73.7
