,시작,전체,전체,전체,전체,리드,리드,리드,리드,동점,동점,동점,동점,열세,열세,열세,열세,Season
,끝,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,
11,12회,4,1,3,0,,,,,4,1,3,0,,,,,2017
0,1회,144,35,70,39,,,,,144,35,70,39,,,,,2018
1,2회,144,56,39,49,35.0,31.0,1.0,3.0,70,21,37,12,39.0,4.0,1.0,34.0,2018
2,3회,144,67,24,53,56.0,52.0,2.0,2.0,39,10,20,9,49.0,5.0,2.0,42.0,2018
3,4회,144,74,16,54,67.0,62.0,2.0,3.0,24,7,10,7,53.0,5.0,4.0,44.0,2018
4,5회,144,73,18,53,74.0,68.0,3.0,3.0,16,4,9,3,54.0,1.0,6.0,47.0,2018
5,6회,144,81,13,50,73.0,69.0,3.0,1.0,18,8,6,4,53.0,4.0,4.0,45.0,2018
6,7회,144,85,14,45,81.0,76.0,4.0,1.0,13,2,7,4,50.0,7.0,3.0,40.0,2018
7,8회,144,86,13,45,85.0,81.0,2.0,2.0,14,2,9,3,45.0,3.0,2.0,40.0,2018
8,9회,77,46,14,17,43.0,41.0,2.0,0.0,13,4,9,0,21.0,1.0,3.0,17.0,2018
9,10회,14,2,5,7,,,,,14,2,5,7,,,,,2018
10,11회,5,1,1,3,,,,,5,1,1,3,,,,,2018
11,12회,1,1,0,0,,,,,1,1,0,0,,,,,2018
0,1회,144,38,77,29,,,,,144,38,77,29,,,,,2019
1,2회,144,46,58,40,38.0,35.0,1.0,2.0,77,9,53,15,29.0,2.0,4.0,23.0,2019
2,3회,144,64,32,48,46.0,44.0,1.0,1.0,58,16,27,15,40.0,4.0,4.0,32.0,2019
3,4회,144,74,20,50,64.0,61.0,3.0,0.0,32,9,16,7,48.0,4.0,1.0,43.0,2019
4,5회,144,75,20,49,74.0,66.0,5.0,3.0,20,7,10,3,50.0,2.0,5.0,43.0,2019
5,6회,144,79,17,48,75.0,73.0,1.0,1.0,20,5,11,4,49.0,1.0,5.0,43.0,2019
6,7회,144,84,14,46,79.0,76.0,3.0,0.0,17,7,6,4,48.0,1.0,5.0,42.0,2019
7,8회,144,85,9,50,84.0,78.0,3.0,3.0,14,6,5,3,46.0,1.0,1.0,44.0,2019
8,9회,77,41,10,26,44.0,38.0,3.0,3.0,9,2,5,2,24.0,1.0,2.0,21.0,2019
9,10회,10,3,4,3,,,,,10,3,4,3,,,,,2019
10,11회,4,2,2,0,,,,,4,2,2,0,,,,,2019
11,12회,2,1,1,0,,,,,2,1,1,0,,,,,2019
0,1회,144,42,65,37,,,,,144,42,65,37,,,,,2020
1,2회,144,57,43,44,42.0,40.0,1.0,1.0,65,15,38,12,37.0,2.0,4.0,31.0,2020
2,3회,144,73,27,44,57.0,54.0,1.0,2.0,43,11,26,6,44.0,8.0,0.0,36.0,2020
3,4회,144,71,23,50,73.0,62.0,7.0,4.0,27,8,13,6,44.0,1.0,3.0,40.0,2020
4,5회,144,73,21,50,71.0,62.0,5.0,4.0,23,10,11,2,50.0,1.0,5.0,44.0,2020
5,6회,143,71,22,50,73.0,63.0,7.0,3.0,20,6,10,4,50.0,2.0,5.0,43.0,2020
6,7회,143,74,14,55,71.0,68.0,1.0,2.0,22,5,10,7,50.0,1.0,3.0,46.0,2020
7,8회,143,72,14,57,74.0,67.0,1.0,6.0,14,3,8,3,55.0,2.0,5.0,48.0,2020
8,9회,82,41,12,29,39.0,35.0,2.0,2.0,13,5,6,2,30.0,1.0,4.0,25.0,2020
9,10회,11,1,9,1,,,,,11,1,9,1,,,,,2020
10,11회,9,3,3,3,,,,,9,3,3,3,,,,,2020
11,12회,3,1,1,1,,,,,3,1,1,1,,,,,2020
0,1회,144,39,73,32,,,,,144,39,73,32,,,,,2021
1,2회,144,54,53,37,39.0,34.0,3.0,2.0,73,19,48,6,32.0,1.0,2.0,29.0,2021
2,3회,144,60,36,48,54.0,49.0,2.0,3.0,53,9,28,16,37.0,2.0,6.0,29.0,2021
3,4회,144,66,20,58,60.0,54.0,2.0,4.0,36,11,15,10,48.0,1.0,3.0,44.0,2021
4,5회,144,68,14,62,66.0,59.0,4.0,3.0,20,8,7,5,58.0,1.0,3.0,54.0,2021
5,6회,144,69,14,61,68.0,63.0,3.0,2.0,14,4,6,4,62.0,2.0,5.0,55.0,2021
6,7회,143,70,13,60,69.0,65.0,2.0,2.0,14,3,7,4,60.0,2.0,4.0,54.0,2021
7,8회,143,69,12,62,70.0,66.0,4.0,0.0,13,1,8,4,60.0,2.0,0.0,58.0,2021
8,9회,79,36,13,30,36.0,31.0,4.0,1.0,12,3,7,2,31.0,2.0,2.0,27.0,2021
9,10회,5,2,3,0,,,,,5,2,3,0,,,,,2021
10,11회,3,0,1,2,,,,,3,0,1,2,,,,,2021
11,12회,1,0,0,1,,,,,1,0,0,1,,,,,2021
0,1회,144,34,77,33,,,,,144,34,77,33,,,,,2022
1,2회,144,45,48,51,34.0,27.0,5.0,2.0,77,14,38,25,33.0,4.0,5.0,24.0,2022
2,3회,144,51,31,62,45.0,38.0,3.0,4.0,48,7,26,15,51.0,6.0,2.0,43.0,2022
3,4회,144,56,23,65,51.0,47.0,1.0,3.0,31,7,21,3,62.0,2.0,1.0,59.0,2022
4,5회,144,50,23,71,56.0,46.0,4.0,6.0,23,2,16,5,65.0,2.0,3.0,60.0,2022
5,6회,144,59,9,76,50.0,46.0,0.0,4.0,23,11,8,4,71.0,2.0,1.0,68.0,2022
6,7회,144,58,9,77,59.0,54.0,2.0,3.0,9,1,5,3,76.0,3.0,2.0,71.0,2022
7,8회,143,54,15,74,58.0,51.0,4.0,3.0,8,1,5,2,77.0,2.0,6.0,69.0,2022
8,9회,81,29,11,41,26.0,24.0,0.0,2.0,15,3,8,4,40.0,2.0,3.0,35.0,2022
9,10회,11,1,7,3,,,,,11,1,7,3,,,,,2022
10,11회,7,2,4,1,,,,,7,2,4,1,,,,,2022
11,12회,4,0,1,3,,,,,4,0,1,3,,,,,2022
