,이닝,리드,Unnamed: 2,동점,Unnamed: 4,열세,Unnamed: 6,Season
1,2,28-7-0 (0.800),0.8,47-23-0 (0.671),0.671,18-21-0 (0.462),0.462,2018
2,3,45-11-0 (0.804),0.804,26-13-0 (0.667),0.667,22-27-0 (0.449),0.449,2018
3,4,55-12-0 (0.821),0.821,17-7-0 (0.708),0.708,21-32-0 (0.396),0.396,2018
4,5,63-11-0 (0.851),0.851,11-5-0 (0.688),0.688,19-35-0 (0.352),0.352,2018
5,6,67-6-0 (0.918),0.918,11-7-0 (0.611),0.611,15-38-0 (0.283),0.283,2018
6,7,74-7-0 (0.914),0.914,7-6-0 (0.538),0.538,12-38-0 (0.240),0.24,2018
7,8,82-3-0 (0.965),0.965,8-6-0 (0.571),0.571,3-42-0 (0.067),0.067,2018
8,9,85-1-0 (0.988),0.988,7-6-0 (0.538),0.538,1-44-0 (0.022),0.022,2018
9,10,,,4-10-0 (0.286),0.286,,,2018
10,11,,,2-3-0 (0.400),0.4,,,2018
11,12,,,1-0-0 (1.000),1.0,,,2018
0,1,,,88-55-1 (0.615),0.615,,,2019
1,2,32-6-0 (0.842),0.842,48-28-1 (0.632),0.632,8-21-0 (0.276),0.276,2019
2,3,39-7-0 (0.848),0.848,38-19-1 (0.667),0.667,11-29-0 (0.275),0.275,2019
3,4,53-10-1 (0.841),0.841,22-10-0 (0.688),0.688,13-35-0 (0.271),0.271,2019
4,5,62-11-1 (0.849),0.849,14-6-0 (0.700),0.7,12-38-0 (0.240),0.24,2019
5,6,65-9-1 (0.878),0.878,14-6-0 (0.700),0.7,9-40-0 (0.184),0.184,2019
6,7,70-8-1 (0.897),0.897,11-6-0 (0.647),0.647,7-41-0 (0.146),0.146,2019
7,8,75-8-1 (0.904),0.904,11-3-0 (0.786),0.786,2-44-0 (0.043),0.043,2019
8,9,80-4-1 (0.952),0.952,7-2-0 (0.778),0.778,1-49-0 (0.020),0.02,2019
9,10,,,6-3-1 (0.667),0.667,,,2019
10,11,,,3-0-1 (1.000),1.0,,,2019
11,12,,,1-0-1 (1.000),1.0,,,2019
0,1,,,79-61-4 (0.564),0.564,,,2020
1,2,32-10-0 (0.762),0.762,35-28-2 (0.556),0.556,12-23-2 (0.343),0.343,2020
2,3,42-13-2 (0.764),0.764,24-17-2 (0.585),0.585,13-31-0 (0.295),0.295,2020
3,4,55-14-4 (0.797),0.797,16-11-0 (0.593),0.593,8-36-0 (0.182),0.182,2020
4,5,57-11-3 (0.838),0.838,13-9-1 (0.591),0.591,9-41-0 (0.180),0.18,2020
5,6,61-11-1 (0.847),0.847,10-8-3 (0.556),0.556,8-42-0 (0.160),0.16,2020
6,7,64-6-1 (0.914),0.914,10-10-2 (0.500),0.5,5-45-0 (0.100),0.1,2020
7,8,68-5-1 (0.932),0.932,7-6-1 (0.538),0.538,4-50-1 (0.074),0.074,2020
8,9,70-2-0 (0.972),0.972,7-5-2 (0.583),0.583,2-54-1 (0.036),0.036,2020
9,10,,,5-5-2 (0.500),0.5,,,2020
10,11,,,4-4-1 (0.500),0.5,,,2020
11,12,,,1-1-1 (0.500),0.5,,,2020
0,1,,,71-65-8 (0.522),0.522,,,2021
1,2,27-10-2 (0.730),0.73,38-33-2 (0.535),0.535,6-22-4 (0.214),0.214,2021
2,3,41-11-2 (0.788),0.788,21-30-2 (0.412),0.412,9-24-4 (0.273),0.273,2021
3,4,46-11-3 (0.807),0.807,15-19-2 (0.441),0.441,10-35-3 (0.222),0.222,2021
4,5,56-7-3 (0.889),0.889,7-12-1 (0.368),0.368,8-46-4 (0.148),0.148,2021
5,6,57-8-3 (0.877),0.877,6-8-0 (0.429),0.429,8-49-5 (0.140),0.14,2021
6,7,61-5-3 (0.924),0.924,3-9-2 (0.250),0.25,7-51-3 (0.121),0.121,2021
7,8,63-3-4 (0.955),0.955,4-7-2 (0.364),0.364,4-54-2 (0.069),0.069,2021
8,9,65-2-2 (0.970),0.97,4-4-4 (0.500),0.5,2-58-2 (0.033),0.033,2021
9,10,,,2-3-8 (0.400),0.4,,,2021
10,11,,,0-3-0 (0.000),0.0,,,2021
11,12,,,0-1-0 (0.000),0.0,,,2021
0,1,,,60-82-2 (0.423),0.423,,,2022
1,2,18-16-0 (0.529),0.529,32-45-0 (0.416),0.416,10-21-2 (0.323),0.323,2022
2,3,27-17-1 (0.614),0.614,16-32-0 (0.333),0.333,17-33-1 (0.340),0.34,2022
3,4,33-17-1 (0.660),0.66,15-16-0 (0.484),0.484,12-49-1 (0.197),0.197,2022
4,5,38-17-1 (0.691),0.691,10-13-0 (0.435),0.435,12-52-1 (0.188),0.188,2022
5,6,40-10-0 (0.800),0.8,10-12-1 (0.455),0.455,10-60-1 (0.143),0.143,2022
6,7,47-12-0 (0.797),0.797,4-4-1 (0.500),0.5,9-66-1 (0.120),0.12,2022
7,8,51-7-0 (0.879),0.879,1-7-1 (0.125),0.125,8-68-1 (0.105),0.105,2022
8,9,52-2-0 (0.963),0.963,5-9-1 (0.357),0.357,3-71-0 (0.041),0.041,2022
9,10,,,3-7-1 (0.300),0.3,,,2022
10,11,,,2-4-1 (0.333),0.333,,,2022
11,12,,,0-3-1 (0.000),0.0,,,2022
