,선수,연도,팀,연봉(만원),WAR
51,조수행,2016,두산,2700,-0.215
52,홍영현,2016,두산,2700,-0.066
53,정진철,2016,두산,2700,-0.017
54,고봉재,2016,두산,2700,-0.02
55,정덕현,2016,두산,2700,
56,신창희,2016,두산,2700,
57,성영훈,2016,두산,2700,
58,서예일,2016,두산,2700,-0.117
59,이영하,2016,두산,2700,
60,양구렬,2016,두산,2700,
61,이용호,2016,두산,2700,0.017
62,문진제,2016,두산,2700,
63,이찬기,2016,두산,2700,
64,전용훈,2016,두산,2700,
65,장승현,2016,두산,2700,
66,이동원,2016,두산,2700,
67,오석,2016,두산,0,
68,홍성흔,2016,두산,0,-0.153
69,오장훈,2016,두산,0,
70,정재훈,2016,두산,0,1.624
71,고영민,2016,두산,0,0.05
72,진야곱,2016,두산,0,0.492
73,김강,2016,두산,0,
74,노유성,2016,두산,0,
75,박성민,2016,두산,0,0.032
76,김명성,2016,두산,0,
0,니퍼트,2017,두산,210000,3.444
1,장원준,2017,두산,100000,5.406
2,김재호,2017,두산,65000,2.739
3,오재원,2017,두산,55000,0.314
4,민병헌,2017,두산,55000,2.952
5,유희관,2017,두산,50000,2.327
6,양의지,2017,두산,48000,3.162
7,이현승,2017,두산,40000,1.453
8,허경민,2017,두산,30000,0.622
9,김재환,2017,두산,20000,7.369
10,오재일,2017,두산,19800,3.886
11,박건우,2017,두산,19500,6.805
12,이용찬,2017,두산,18000,1.229
13,홍상삼,2017,두산,12500,-0.377
14,최주환,2017,두산,10000,2.854
15,김승회,2017,두산,10000,0.894
16,오현택,2017,두산,8000,
17,함덕주,2017,두산,7000,3.221
18,김강률,2017,두산,6200,2.328
19,이현호,2017,두산,6000,-0.372
20,박세혁,2017,두산,6000,1.232
21,류지혁,2017,두산,5700,0.237
22,신성현,2017,두산,5700,
23,국해성,2017,두산,5000,-0.182
24,정진호,2017,두산,4700,0.233
25,고봉재,2017,두산,4400,0.041
26,조수행,2017,두산,3600,0.491
27,임진우,2017,두산,3200,-0.099
28,김인태,2017,두산,3000,-0.148
29,최병욱,2017,두산,2900,
30,이성곤,2017,두산,2800,-0.033
31,남경호,2017,두산,2800,
32,이우성,2017,두산,2800,-0.052
33,이원재,2017,두산,2700,
34,황경태,2017,두산,2700,0.001
35,전태준,2017,두산,2700,
36,지윤,2017,두산,2700,
37,전용훈,2017,두산,2700,0.028
38,정기훈,2017,두산,2700,
39,장민익,2017,두산,2700,0.094
40,한주성,2017,두산,2700,
41,최동현,2017,두산,2700,
42,박치국,2017,두산,2700,-0.197
43,박성환,2017,두산,2700,
44,문진제,2017,두산,2700,
45,방건우,2017,두산,2700,
46,문대원,2017,두산,2700,
47,백민규,2017,두산,2700,
48,박유연,2017,두산,2700,0.01
49,김명신,2017,두산,2700,0.776
50,성영훈,2017,두산,2700,0.052
51,이동원,2017,두산,2700,
52,이병휘,2017,두산,2700,
53,이영하,2017,두산,2700,0.239
54,김민혁,2017,두산,0,-0.184
55,최현진,2017,두산,0,
56,홍영현,2017,두산,0,
57,김성배,2017,두산,0,0.476
58,박찬범,2017,두산,0,
59,이찬기,2017,두산,0,
60,에반스,2017,두산,0,3.43
61,안규영,2017,두산,0,-0.207
62,보우덴,2017,두산,0,1.17
63,정인석,2017,두산,0,
64,정진철,2017,두산,0,
65,이용호,2017,두산,0,-0.037
66,조승수,2017,두산,0,0.0
67,고원준,2017,두산,0,-0.378
0,린드블럼,2018,두산,135000,6.813
1,장원준,2018,두산,100000,-2.191
2,후랭코프,2018,두산,70000,4.118
3,김재호,2018,두산,65000,3.568
4,양의지,2018,두산,60000,6.643
5,오재원,2018,두산,55000,3.335
6,유희관,2018,두산,50000,-0.527
7,김재환,2018,두산,47000,6.246
8,이현승,2018,두산,40000,0.349
9,박건우,2018,두산,37000,3.399
10,오재일,2018,두산,30000,3.203
11,허경민,2018,두산,26500,4.054
12,이용찬,2018,두산,23500,3.913
13,최주환,2018,두산,20000,4.507
14,함덕주,2018,두산,16000,2.948
15,김강률,2018,두산,15000,1.04
16,박세혁,2018,두산,10000,1.322
17,김승회,2018,두산,10000,1.215
18,류지혁,2018,두산,9500,0.865
19,홍상삼,2018,두산,9000,0.246
20,정진호,2018,두산,8500,0.602
21,변진수,2018,두산,6000,-0.239
22,신성현,2018,두산,5700,-0.251
23,이현호,2018,두산,5200,0.269
24,김명신,2018,두산,5200,
25,국해성,2018,두산,5000,0.167
26,조수행,2018,두산,4500,-0.022
27,이영하,2018,두산,4200,1.316
28,최대성,2018,두산,3500,-0.438
29,김정후,2018,두산,3500,0.355
30,박치국,2018,두산,3400,1.72
31,고봉재,2018,두산,3300,
32,유재유,2018,두산,3200,-0.022
33,김도현,2018,두산,3200,
34,김인태,2018,두산,3200,0.011
35,김민혁,2018,두산,3000,0.005
36,백동훈,2018,두산,3000,0.037
37,양종민,2018,두산,2900,-0.031
38,황경태,2018,두산,2800,-0.21
39,이우성,2018,두산,2800,
40,장승현,2018,두산,2800,0.091
41,박유연,2018,두산,2800,
42,박종기,2018,두산,2800,
43,박신지,2018,두산,2700,0.61
44,박성모,2018,두산,2700,-0.036
45,문대원,2018,두산,2700,
46,전민재,2018,두산,2700,0.047
47,정우석,2018,두산,2700,
48,정철원,2018,두산,2700,
49,김호준,2018,두산,2700,
50,최동현,2018,두산,2700,
51,신창희,2018,두산,2700,
52,한주성,2018,두산,2700,0.013
53,김민규,2018,두산,2700,-0.072
54,김경호,2018,두산,2700,
55,현도훈,2018,두산,2700,
56,권민석,2018,두산,2700,
57,홍성호,2018,두산,2700,
58,곽빈,2018,두산,2700,-0.362
59,박정준,2018,두산,2700,
60,백민규,2018,두산,2700,
61,이동원,2018,두산,2700,
62,이병휘,2018,두산,2700,-0.014
63,양구렬,2018,두산,2700,
64,안준,2018,두산,2700,
65,이승민,2018,두산,2700,
66,신민철,2018,두산,2700,
67,배창현,2018,두산,2700,
68,송주영,2018,두산,0,
69,양구열,2018,두산,0,
70,성영훈,2018,두산,0,
71,김승후,2018,두산,0,
72,사공엽,2018,두산,0,
73,신현수,2018,두산,0,
74,파레디스,2018,두산,0,-0.739
75,남경호,2018,두산,0,
76,이원재,2018,두산,0,
77,이정담,2018,두산,0,
78,이지모,2018,두산,0,
79,박성환,2018,두산,0,
80,임진우,2018,두산,0,
81,문진제,2018,두산,0,
82,정덕현,2018,두산,0,
83,방건우,2018,두산,0,
84,계정웅,2018,두산,0,
85,반슬라이크,2018,두산,0,-0.454
86,최병욱,2018,두산,0,
0,린드블럼,2019,두산,170000,6.858
1,후랭코프,2019,두산,110000,2.594
2,배영수,2019,두산,10000,0.207
3,허준혁,2019,두산,8500,
4,윤수호,2019,두산,5000,
5,정병곤,2019,두산,4000,0.042
6,최대성,2019,두산,3500,0.0
7,김민혁,2019,두산,3400,
8,유재유,2019,두산,3200,
9,황경태,2019,두산,3100,
10,김도현,2019,두산,3000,
11,전민재,2019,두산,2800,0.021
12,박유연,2019,두산,2800,-0.007
13,이민혁,2019,두산,2700,
14,최지원,2019,두산,2700,
15,윤산흠,2019,두산,2700,
16,이교훈,2019,두산,2700,
0,김재호,2020,두산,65000,2.017
1,김재환,2020,두산,65000,3.756
2,허경민,2020,두산,48000,3.745
3,유희관,2020,두산,47000,0.152
4,오재일,2020,두산,47000,3.361
5,박건우,2020,두산,45000,4.122
6,알칸타라,2020,두산,45000,8.313
7,이용찬,2020,두산,42000,-0.543
8,이현승,2020,두산,40000,0.25
9,페르난데스,2020,두산,40000,4.46
10,정수빈,2020,두산,34000,3.395
11,장원준,2020,두산,30000,-0.383
12,오재원,2020,두산,30000,0.386
13,최주환,2020,두산,27000,3.628
14,이영하,2020,두산,27000,2.018
15,박세혁,2020,두산,23200,1.662
16,윤명준,2020,두산,21000,0.393
17,함덕주,2020,두산,21000,1.337
18,권혁,2020,두산,20000,-0.356
19,김강률,2020,두산,15000,-0.16
20,이형범,2020,두산,14200,-0.389
21,류지혁,2020,두산,10500,
22,김승회,2020,두산,10000,
23,박치국,2020,두산,8000,1.458
24,이흥련,2020,두산,7000,
25,최원준,2020,두산,5900,3.079
26,김인태,2020,두산,5000,0.448
27,신성현,2020,두산,4800,0.086
28,국해성,2020,두산,4500,-0.505
29,백동훈,2020,두산,3600,0.075
30,장승현,2020,두산,3500,0.097
31,서예일,2020,두산,3200,0.028
32,박신지,2020,두산,3100,-0.144
33,김민규,2020,두산,2900,0.643
34,박종기,2020,두산,2900,0.191
35,김경호,2020,두산,2900,
36,송승환,2020,두산,2800,
37,채지선,2020,두산,2800,0.459
38,최용제,2020,두산,2800,0.196
39,김태근,2020,두산,2800,
40,김대한,2020,두산,2800,
41,최종인,2020,두산,2700,
42,이승민,2020,두산,2700,-0.017
43,정현욱,2020,두산,2700,
44,최지원,2020,두산,2700,
45,전창민,2020,두산,2700,
46,조제영,2020,두산,2700,-0.214
47,최세창,2020,두산,2700,0.02
48,김호준,2020,두산,2700,
49,김성민,2020,두산,2700,
50,오명진,2020,두산,2700,-0.1
51,박웅,2020,두산,2700,
52,윤산흠,2020,두산,2700,
53,백민규,2020,두산,2700,
54,권민석,2020,두산,2700,-0.483
55,이주엽,2020,두산,2700,-0.009
56,박지훈,2020,두산,2700,-0.027
57,장규빈,2020,두산,2700,
58,안권수,2020,두산,2700,-0.335
59,이동원,2020,두산,2700,0.0
60,양찬열,2020,두산,0,0.128
61,플렉센,2020,두산,0,3.506
62,추종민,2020,두산,0,
63,신민철,2020,두산,0,
64,한주성,2020,두산,0,
65,안준,2020,두산,0,
66,전용훈,2020,두산,0,
67,전태준,2020,두산,0,
68,전형근,2020,두산,0,
69,구장익,2020,두산,0,
70,권기영,2020,두산,0,
71,지원근,2020,두산,0,
72,진재혁,2020,두산,0,
73,배창현,2020,두산,0,0.014
74,제환유,2020,두산,0,
0,김재환,2021,두산,65000,3.823
1,김재호,2021,두산,65000,0.116
2,미란다,2021,두산,55000,7.086
3,로켓,2021,두산,49300,4.096
4,허경민,2021,두산,48000,1.349
5,박건우,2021,두산,45000,4.509
6,페르난데스,2021,두산,40000,2.88
7,이현승,2021,두산,40000,0.974
8,정수빈,2021,두산,34000,1.425
9,유희관,2021,두산,30000,-1.485
10,오재원,2021,두산,30000,-0.548
11,장원준,2021,두산,30000,-0.253
12,이영하,2021,두산,27000,-0.28
13,박세혁,2021,두산,23200,0.334
14,양석환,2021,두산,21000,3.045
15,윤명준,2021,두산,21000,0.171
16,김강률,2021,두산,15000,2.492
17,이형범,2021,두산,14200,-0.04
18,박치국,2021,두산,8000,0.338
19,최원준,2021,두산,5900,4.133
20,김민규,2021,두산,5500,-0.228
21,박계범,2021,두산,5500,1.843
22,홍건희,2021,두산,5300,2.915
23,김명신,2021,두산,5200,0.574
24,국해성,2021,두산,5000,-0.091
25,김인태,2021,두산,5000,2.626
26,강승호,2021,두산,5000,1.165
27,신성현,2021,두산,4800,-0.181
28,이승진,2021,두산,4700,0.728
29,조수행,2021,두산,4500,1.471
30,백동훈,2021,두산,3600,-0.1
31,장승현,2021,두산,3500,0.718
32,곽빈,2021,두산,3500,1.336
33,김민혁,2021,두산,3400,-0.073
34,고봉재,2021,두산,3300,-0.12
35,서예일,2021,두산,3200,-0.057
36,이주엽,2021,두산,3100,
37,조제영,2021,두산,3100,-0.377
38,황경태,2021,두산,3100,-0.014
39,박지훈,2021,두산,3100,0.084
40,장규빈,2021,두산,3000,
41,이민혁,2021,두산,3000,
42,임태윤,2021,두산,3000,
43,이상연,2021,두산,3000,
44,정우석,2021,두산,3000,
45,최승용,2021,두산,3000,0.108
46,지윤,2021,두산,3000,
47,장빈,2021,두산,3000,
48,최종인,2021,두산,3000,
49,강원진,2021,두산,3000,
50,백민규,2021,두산,3000,
51,박성재,2021,두산,3000,0.004
52,박성모,2021,두산,3000,
53,김주완,2021,두산,3000,
54,김도경,2021,두산,3000,
55,김동주,2021,두산,3000,
56,김도윤,2021,두산,3000,0.04
57,강현구,2021,두산,3000,
58,백종수,2021,두산,3000,
59,신창희,2021,두산,3000,
60,오세훈,2021,두산,3000,
61,안재석,2021,두산,3000,0.295
62,안찬호,2021,두산,3000,
63,양현진,2021,두산,3000,
64,박종기,2021,두산,2900,-0.227
65,최용제,2021,두산,2800,0.464
66,권휘,2021,두산,2700,0.595
67,박웅,2021,두산,2700,0.045
68,이동원,2021,두산,2700,
69,권민석,2021,두산,2700,-0.052
70,김문수,2021,두산,2700,
71,최세창,2021,두산,2700,0.055
72,오명진,2021,두산,2700,-0.14
73,남호,2021,두산,2700,-0.114
74,문대원,2021,두산,2700,0.0
75,안권수,2021,두산,2700,-0.053
76,이교훈,2021,두산,2700,-0.21
