,순,이름,팀,평속,타석,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
,순,이름,팀,직구,타석,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
24,,송승환,22두LF,143.7,28,143.7,134.0,120.1,126.6,133.0,142.2,,,30.4,18.8,21.4,19.6,0.9,8.9,0.0,0.0,75.5,39.7,55.4,91.9,64.0,80.6,43.8
25,,서예일,22두2B,143.7,27,143.7,131.6,123.8,126.5,129.0,144.2,,,48.9,26.7,8.9,2.2,3.3,10.0,0.0,0.0,70.0,45.5,55.8,82.1,60.0,71.7,42.1
26,23,홍성호,22두RF,143.5,19,143.5,137.7,121.4,122.6,128.3,142.2,,,42.2,10.9,10.9,14.1,12.5,9.4,0.0,0.0,60.0,43.6,50.0,80.0,52.9,65.6,39.1
27,24,안승한,22두C,143.3,39,143.3,132.8,120.3,128.4,131.3,136.8,,,40.8,26.7,10.8,9.2,2.5,10.0,0.0,0.0,61.2,47.2,52.9,93.3,44.1,67.2,40.5
28,25,권민석,22두3B,143.2,3,143.2,138.0,,,133.0,,,,62.5,12.5,0.0,0.0,25.0,0.0,0.0,0.0,100.0,60.0,75.0,66.7,33.3,50.0,37.5
29,26,이유찬,22두SS,143.0,31,143.0,132.7,118.4,126.1,129.7,140.5,,,23.5,31.9,16.0,7.6,10.1,10.9,0.0,0.0,68.0,47.1,55.8,85.3,60.6,73.1,41.7
30,,오재원,22두2B,143.0,31,143.0,132.8,120.2,127.4,132.0,142.9,,,43.5,15.7,10.4,13.0,1.7,15.7,0.0,0.0,77.0,35.2,57.4,68.1,73.7,69.7,53.0
31,28,박유연,22두C,142.9,19,142.9,131.5,124.1,127.0,134.7,150.0,,,51.4,17.6,13.5,12.2,4.1,1.4,0.0,0.0,50.0,38.6,43.2,93.3,35.3,62.5,40.5
32,,강진성,22두1B,142.9,94,142.9,133.8,122.7,126.2,133.3,142.8,,,36.5,22.3,8.3,10.2,4.0,18.8,0.0,0.0,60.4,31.5,43.4,88.2,72.5,81.5,41.3
33,30,장승현,22두C,142.7,109,142.7,131.5,118.8,128.2,128.6,139.0,,,46.4,20.4,5.6,11.4,6.9,9.3,0.0,0.0,67.5,35.2,48.2,84.0,62.2,74.5,40.3
34,순,이름,팀,평속,타석,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
35,순,이름,팀,직구,타석,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
36,31,최용제,22두,,1,,,,,,152.6,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,25.0,40.0,100.0,100.0,100.0,20.0
37,,윤명준,22두P,,0,,,,,,,,,,,,,,,,,,,,,,,
38,,박정수,22두P,,0,,,,,,,,,,,,,,,,,,,,,,,
39,,홍건희,22두P,,0,,,,,,,,,,,,,,,,,,,,,,,
40,,김강률,22두P,,0,,,,,,,,,,,,,,,,,,,,,,,
41,,임창민,22두P,,0,,,,,,,,,,,,,,,,,,,,,,,
42,,박신지,22두P,,0,,,,,,,,,,,,,,,,,,,,,,,
43,,김동주,22두P,,0,,,,,,,,,,,,,,,,,,,,,,,
44,,김지용,22두P,,0,,,,,,,,,,,,,,,,,,,,,,,
45,,이승진,22두P,,0,,,,,,,,,,,,,,,,,,,,,,,
46,순,이름,팀,평속,타석,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
47,순,이름,팀,직구,타석,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
48,,장원준,22두P,,0,,,,,,,,,,,,,,,,,,,,,,,
49,,김명신,22두P,,0,,,,,,,,,,,,,,,,,,,,,,,
50,,정철원,22두P,,0,,,,,,,,,,,,,,,,,,,,,,,
