,순,이름,팀,정렬,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,도루% 상황,무.도,견제아웃,폭투진루,포일진루,견제실책
,순,이름,팀,RAA도루,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,좌,2,3,4,좌,2,3,4,좌,2,3,4,무.도,견제아웃,폭투진루,포일진루,견제실책
0,1,조수행,22두LF,1.45,134,1.45,22,7,75.9,91,31.9,5,21,1,0,1,7,0,0,83.3,75.0,100.0,,0,0,5,0,5
1,2,강진성,22두1B,0.76,94,0.76,4,0,100.0,32,12.5,2,4,0,0,0,0,0,0,100.0,100.0,,,0,0,1,1,0
2,3,안재석,22두SS,0.69,264,0.69,4,0,100.0,91,4.4,1,4,0,0,0,0,0,0,100.0,100.0,,,0,0,4,0,0
3,4,전민재,22두SS,0.58,46,0.58,3,0,100.0,31,9.7,0,3,0,0,0,0,0,0,,100.0,,,0,0,1,0,1
4,5,허경민,22두3B,0.50,493,0.50,10,3,76.9,190,6.8,1,7,1,2,1,3,0,0,50.0,70.0,100.0,100.0,0,1,9,1,0
5,6,강승호,22두2B,0.34,487,0.34,13,5,72.2,159,11.3,0,12,0,1,2,4,1,0,0.0,75.0,0.0,100.0,0,1,5,0,2
6,7,신성현,22두LF,0.19,25,0.19,1,0,100.0,7,14.3,1,1,0,0,0,0,0,0,100.0,100.0,,,0,0,0,0,0
7,8,김인태,22두RF,0.04,279,0.04,1,0,100.0,107,0.9,0,1,0,0,0,0,0,0,,100.0,,,0,0,3,2,0
8,9,양석환,22두1B,0.02,446,0.02,1,0,100.0,135,0.7,1,1,0,0,0,0,0,0,100.0,100.0,,,0,0,2,0,2
9,10,이승진,22두P,0.00,0,0.00,0,0,,0,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
10,순,이름,팀,정렬,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,도루% 상황,무.도,견제아웃,폭투진루,포일진루,견제실책
11,순,이름,팀,RAA도루,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,좌,2,3,4,좌,2,3,4,좌,2,3,4,무.도,견제아웃,폭투진루,포일진루,견제실책
12,,홍건희,22두P,0.00,0,0.00,0,0,,0,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
13,,박신지,22두P,0.00,0,0.00,0,0,,0,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
14,,김강률,22두P,0.00,0,0.00,0,0,,0,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
15,,윤명준,22두P,0.00,0,0.00,0,0,,0,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
16,,김동주,22두P,0.00,0,0.00,0,0,,0,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
17,,김명신,22두P,0.00,0,0.00,0,0,,0,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
18,,임창민,22두P,0.00,0,0.00,0,0,,0,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
19,,박정수,22두P,0.00,0,0.00,0,0,,0,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
