,순,이름,팀,정렬,타석,득점,주루기회,RS%,RAA주루,G12,G12,G23,G23,G34,G34,F23,F23,F34,F34,H13,H13,H24,H24,D14,D14,EtcAdv,추가진루,추가진루,추가진루,주루사,주루사
,순,이름,팀,RAA주루,타석,득점,주루기회,RS%,RAA주루,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,EtcAdv,N,%,+/-,N,%
0,1,조수행,22두LF,1.80,134,36,92,38.0,1.80,5,41.7,9,69.2,4,66.7,1,20.0,9,100.0,9,69.2,9,90.0,0,0.0,1,47,67.1,17,2,2.86
1,2,강승호,22두2B,1.64,487,54,169,26.0,1.64,7,28.0,11,91.7,4,66.7,1,14.3,4,100.0,9,47.4,11,64.7,3,60.0,0,50,52.6,6,2,2.11
2,3,안권수,22두RF,0.84,267,43,116,37.1,0.84,6,33.3,4,57.1,4,80.0,1,16.7,3,100.0,7,35.0,11,73.3,4,80.0,0,40,50.6,4,3,3.80
3,4,김민혁,22두1B,0.41,97,11,34,17.7,0.41,0,0.0,0,,0,0.0,0,0.0,1,100.0,2,40.0,1,33.3,0,,0,4,30.8,-2,0,0.00
4,5,권민석,22두3B,0.32,3,3,7,42.9,0.32,1,50.0,0,,0,,0,,0,,1,50.0,2,100.0,0,,0,4,66.7,2,0,0.00
5,6,강진성,22두1B,0.28,94,7,33,18.2,0.28,0,0.0,0,,0,,0,,2,100.0,1,33.3,0,0.0,1,100.0,0,4,36.4,1,1,9.09
6,7,전민재,22두SS,0.28,46,11,31,35.5,0.28,4,80.0,6,75.0,0,0.0,1,100.0,1,100.0,3,50.0,0,0.0,2,100.0,0,17,65.4,5,1,3.85
7,8,송승환,22두LF,0.20,28,3,8,25.0,0.20,0,0.0,1,100.0,1,100.0,0,,0,,0,,0,,1,100.0,0,3,75.0,1,0,0.00
8,9,이유찬,22두SS,0.15,31,3,9,22.2,0.15,0,0.0,0,0.0,0,0.0,0,,0,,0,0.0,1,100.0,0,,0,1,11.1,-3,0,0.00
9,10,오재원,22두2B,0.15,31,2,11,18.2,0.15,0,,0,0.0,0,,0,,0,0.0,1,100.0,0,0.0,0,,0,1,16.7,-2,0,0.00
10,순,이름,팀,정렬,타석,득점,주루기회,RS%,RAA주루,G12,G12,G23,G23,G34,G34,F23,F23,F34,F34,H13,H13,H24,H24,D14,D14,EtcAdv,추가진루,추가진루,추가진루,주루사,주루사
11,순,이름,팀,RAA주루,타석,득점,주루기회,RS%,RAA주루,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,EtcAdv,N,%,+/-,N,%
12,11,신성현,22두LF,0.08,25,3,8,25.0,0.08,0,,0,,0,,0,,0,,0,,0,,0,0.0,0,0,0.0,0,0,0.00
13,12,양찬열,22두RF,0.01,94,15,38,31.6,0.01,2,33.3,1,100.0,0,,0,0.0,1,100.0,1,33.3,3,75.0,1,100.0,0,9,52.9,2,1,5.88
14,13,박유연,22두C,0.00,19,0,6,0.0,0.00,0,0.0,2,100.0,0,,0,,0,,0,,0,,0,,0,2,50.0,0,0,0.00
15,14,강현구,22두LF,0.00,5,0,3,0.0,0.00,0,0.0,0,,0,,0,,0,,0,,0,,0,,0,0,0.0,0,0,0.00
16,15,최용제,22두,0.00,1,0,1,0.0,0.00,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,
17,16,홍건희,22두P,0.00,0,0,0,,0.00,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,
18,,이승진,22두P,0.00,0,0,0,,0.00,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,
19,,윤명준,22두P,0.00,0,0,0,,0.00,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,
20,,김동주,22두P,0.00,0,0,0,,0.00,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,
21,,김강률,22두P,0.00,0,0,0,,0.00,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,
22,순,이름,팀,정렬,타석,득점,주루기회,RS%,RAA주루,G12,G12,G23,G23,G34,G34,F23,F23,F34,F34,H13,H13,H24,H24,D14,D14,EtcAdv,추가진루,추가진루,추가진루,주루사,주루사
23,순,이름,팀,RAA주루,타석,득점,주루기회,RS%,RAA주루,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,EtcAdv,N,%,+/-,N,%
24,,박정수,22두P,0.00,0,0,0,,0.00,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,
25,,박신지,22두P,0.00,0,0,0,,0.00,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,
26,,김명신,22두P,0.00,0,0,0,,0.00,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,
27,,장원준,22두P,0.00,0,0,0,,0.00,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,
28,,김지용,22두P,0.00,0,0,0,,0.00,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,
29,,정철원,22두P,0.00,0,0,0,,0.00,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,
30,,임창민,22두P,0.00,0,0,0,,0.00,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,
31,28,김태근,22두CF,-0.02,6,0,4,0.0,-0.02,0,0.0,1,100.0,0,,0,,0,,0,0.0,0,,0,,0,1,33.3,0,0,0.00
32,29,안승한,22두C,-0.25,39,5,16,31.3,-0.25,0,,1,100.0,2,100.0,0,0.0,0,,0,,0,,0,0.0,0,3,60.0,0,1,20.00
33,30,장승현,22두C,-0.37,109,6,30,20.0,-0.37,0,0.0,4,66.7,2,66.7,0,,0,,0,0.0,2,40.0,0,0.0,0,8,30.8,-4,0,0.00
34,순,이름,팀,정렬,타석,득점,주루기회,RS%,RAA주루,G12,G12,G23,G23,G34,G34,F23,F23,F34,F34,H13,H13,H24,H24,D14,D14,EtcAdv,추가진루,추가진루,추가진루,주루사,주루사
35,순,이름,팀,RAA주루,타석,득점,주루기회,RS%,RAA주루,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,EtcAdv,N,%,+/-,N,%
36,31,서예일,22두2B,-0.37,27,2,9,22.2,-0.37,0,,0,,0,,0,,0,,1,100.0,1,50.0,0,,0,2,66.7,0,1,33.33
37,32,홍성호,22두RF,-0.38,19,3,5,60.0,-0.38,0,,0,,0,0.0,0,0.0,0,,0,0.0,0,,0,0.0,0,0,0.0,-4,0,0.00
38,33,정수빈,22두CF,-0.38,455,58,183,30.1,-0.38,6,28.6,6,46.2,6,75.0,2,25.0,3,75.0,6,23.1,14,63.6,6,50.0,3,52,44.4,-1,5,4.27
39,34,김대한,22두RF,-0.39,110,13,38,23.7,-0.39,2,66.7,4,66.7,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,1,100.0,0,9,52.9,1,2,11.77
40,35,김인태,22두RF,-0.55,279,25,112,17.9,-0.55,1,4.8,2,33.3,1,100.0,2,66.7,0,,0,0.0,5,55.6,3,75.0,0,14,25.0,-11,3,5.36
41,36,박계범,22두3B,-0.55,168,21,62,30.7,-0.55,3,30.0,4,57.1,2,66.7,0,0.0,1,50.0,2,33.3,5,100.0,0,0.0,0,17,48.6,2,3,8.57
42,37,김재환,22두LF,-0.64,517,64,194,21.1,-0.64,5,29.4,9,75.0,2,28.6,0,0.0,2,100.0,5,17.2,13,68.4,0,0.0,0,36,38.7,-6,5,5.38
43,38,양석환,22두1B,-0.76,446,58,155,24.5,-0.76,3,23.1,6,54.6,3,75.0,1,11.1,1,100.0,6,22.2,10,71.4,3,37.5,1,34,38.6,-8,4,4.55
44,39,김재호,22두SS,-0.77,264,26,86,29.1,-0.77,2,20.0,2,33.3,4,66.7,1,50.0,2,66.7,3,30.0,5,83.3,0,0.0,0,19,39.6,-1,3,6.25
45,40,박세혁,22두C,-0.89,402,33,139,21.6,-0.89,5,26.3,5,38.5,1,50.0,0,0.0,4,66.7,3,18.8,6,75.0,2,28.6,0,26,34.7,-6,4,5.33
46,순,이름,팀,정렬,타석,득점,주루기회,RS%,RAA주루,G12,G12,G23,G23,G34,G34,F23,F23,F34,F34,H13,H13,H24,H24,D14,D14,EtcAdv,추가진루,추가진루,추가진루,주루사,주루사
47,순,이름,팀,RAA주루,타석,득점,주루기회,RS%,RAA주루,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,EtcAdv,N,%,+/-,N,%
48,41,허경민,22두3B,-0.99,493,59,198,25.8,-0.99,4,13.8,13,59.1,4,80.0,0,0.0,5,83.3,8,22.2,8,61.5,4,44.4,0,46,36.5,-7,5,3.97
49,42,안재석,22두SS,-1.44,264,22,94,20.2,-1.44,2,20.0,4,66.7,2,66.7,0,0.0,1,50.0,7,41.2,4,44.4,0,0.0,0,20,37.7,-5,4,7.55
50,43,페르난데스,22두DH,-2.20,550,52,210,21.9,-2.20,5,26.3,8,66.7,3,75.0,0,0.0,3,50.0,1,3.7,8,47.1,1,16.7,0,29,30.9,-10,5,5.32
