,이닝,0점,1+점,1점,2점,3점,4점,5+점,최다,평균
0,1,102,42,23,5,6,5,3,11,0.65
1,2,106,38,23,8,5,2,0,4,0.43
2,3,109,35,21,7,5,1,1,6,0.42
3,4,107,37,22,9,4,1,1,5,0.42
4,5,113,31,15,10,3,1,2,5,0.40
5,6,103,41,20,11,8,1,1,9,0.55
6,7,107,37,24,2,5,4,2,7,0.49
7,8,101,43,22,11,6,1,3,5,0.56
8,9,84,31,15,8,2,3,3,6,0.57
9,10,9,2,1,1,0,0,0,2,0.27
10,11,5,2,1,0,0,1,0,4,0.71
11,12,4,0,0,0,0,0,0,0,0.00
