,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,타점,타석,타점,타점,타점,타점,병살타,병살타,병살타,잔루,잔루/타석,팀잔루,희생번트,희생번트,희생번트
,순,이름,팀,타점,타석,타점.1,순수,주자,%,병살타,상황,%,잔루,잔루/타석,팀잔루,희번,실패,%
52,35,키움,20,713,5721,713,586,3357,17.5,107,1201,8.9,2411,0.421,1130,43,50,46.2
53,36,SSG,21,712,5736,712,527,3199,16.5,106,1256,8.4,2366,0.413,1138,55,34,61.8
54,37,롯데,20,711,5669,711,580,3377,17.2,148,1231,12.0,2405,0.424,1091,39,31,55.7
55,38,삼성,17,703,5707,703,558,3185,17.5,97,1123,8.6,2263,0.397,1070,58,43,57.4
56,39,두산,21,698,5645,698,588,3376,17.4,137,1268,10.8,2396,0.424,1093,46,28,62.2
57,40,NC,14,697,5031,697,554,2752,20.1,90,942,9.6,1901,0.378,904,44,17,72.1
58,순,이름,팀,타점,타석,타점,타점,타점,타점,병살타,병살타,병살타,잔루,잔루/타석,팀잔루,희생번트,희생번트,희생번트
59,순,이름,팀,타점,타석,타점,순수,주자,%,병살타,상황,%,잔루,잔루/타석,팀잔루,희번,실패,%
60,,롯데,21,697,5726,697,590,3544,16.7,113,1266,8.9,2527,0.441,1170,38,29,56.7
61,,롯데,17,697,5671,697,546,3267,16.7,146,1221,12.0,2344,0.413,1078,76,38,66.7
62,43,SK,14,696,5082,696,581,2939,19.8,92,1033,8.9,2022,0.398,946,91,31,74.6
63,44,두산,19,692,5669,692,608,3356,18.1,117,1297,9.0,2419,0.427,1120,39,30,56.5
64,,KIA,20,692,5637,692,562,3343,16.8,113,1268,8.9,2379,0.422,1090,63,31,67.0
65,46,롯데,14,686,5194,686,565,3182,17.8,95,1190,8.0,2252,0.434,1059,62,19,76.5
66,47,한화,17,684,5665,684,534,3117,17.1,112,1091,10.3,2224,0.393,1067,85,36,70.3
67,48,SSG,22,682,5642,682,544,3131,17.4,96,1175,8.2,2260,0.401,1051,77,41,65.3
68,49,KIA,22,676,5703,676,563,3339,16.9,111,1176,9.4,2407,0.422,1129,60,30,66.7
69,50,KT,21,675,5619,675,569,3350,17.0,105,1258,8.4,2408,0.429,1121,69,48,59.0
70,순,이름,팀,타점,타석,타점,타점,타점,타점,병살타,병살타,병살타,잔루,잔루/타석,팀잔루,희생번트,희생번트,희생번트
71,순,이름,팀,타점,타석,타점,순수,주자,%,병살타,상황,%,잔루,잔루/타석,팀잔루,희번,실패,%
72,51,LG,22,674,5627,674,556,3258,17.1,109,1180,9.2,2373,0.422,1094,49,38,56.3
73,52,NC,21,670,5532,670,500,3076,16.3,94,1181,8.0,2270,0.410,1053,59,28,67.8
74,53,키움,21,669,5645,669,579,3332,17.4,93,1206,7.7,2397,0.425,1129,35,32,52.2
75,,삼성,21,669,5552,669,536,3233,16.6,98,1169,8.4,2339,0.421,1072,48,33,59.3
76,55,한화,18,668,5539,668,517,3153,16.4,113,1126,10.0,2255,0.407,987,31,50,38.3
77,56,한화,15,667,5713,667,537,3219,16.7,112,1196,9.4,2325,0.407,1133,139,62,69.2
78,57,LG,17,664,5614,664,554,3116,17.8,123,1154,10.7,2196,0.391,1058,76,50,60.3
79,58,삼성,20,658,5574,658,529,3073,17.2,117,1135,10.3,2231,0.400,1023,50,35,58.8
80,59,SK,15,656,5588,656,511,3037,16.8,113,1125,10.0,2182,0.391,1047,110,45,71.0
81,60,두산,14,646,5083,646,538,2988,18.0,103,1051,9.8,2099,0.413,1000,81,21,79.4
82,순,이름,팀,타점,타석,타점,타점,타점,타점,병살타,병살타,병살타,잔루,잔루/타석,팀잔루,희생번트,희생번트,희생번트
