,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,타석,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타
,순,이름,팀,BABIP,타석,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀
32,19,NC,15,.333,5727,39.7,21.7,38.6,44.5,33.8,1565,857,1522,1756,1331,463,447,527,602,388,.296,.522,.346,.343,.292
33,20,KIA,14,.332,5023,46.8,20.7,32.1,46.8,32.1,1672,739,1148,1672,1148,627,299,346,610,363,.375,.405,.301,.365,.316
34,순,이름,팀,정렬,타석,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타
35,순,이름,팀,BABIP,타석,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀
36,21,SK,16,.331,5672,43.9,22.4,33.7,48.1,29.5,1756,895,1350,1925,1181,639,406,415,692,362,.364,.454,.307,.360,.307
37,22,KT,20,.331,5762,42.8,24.5,32.7,42.8,32.7,1689,968,1293,1691,1291,598,450,384,607,375,.354,.465,.297,.359,.291
38,23,LG,17,.331,5614,42.5,23.2,34.3,44.1,32.7,1666,910,1347,1729,1284,567,421,402,605,364,.340,.463,.298,.350,.284
39,24,롯데,17,.330,5671,42.7,23.1,34.3,44.0,32.9,1696,917,1363,1750,1309,576,441,408,590,394,.340,.481,.299,.337,.301
40,25,두산,17,.329,5833,37.2,24.4,38.4,44.8,30.8,1540,1010,1592,1855,1277,502,475,522,661,363,.326,.470,.328,.356,.284
41,26,삼성,14,.329,5152,41.9,21.6,36.3,44.9,33.2,1558,804,1349,1670,1237,528,367,445,614,359,.339,.457,.330,.368,.290
42,27,KIA,18,.328,5744,39.3,23.0,37.7,43.9,33.1,1623,950,1558,1815,1366,526,461,500,626,400,.324,.485,.321,.345,.293
43,,한화,17,.328,5665,41.9,22.9,35.2,44.4,32.7,1698,928,1429,1802,1325,547,456,441,570,418,.322,.491,.309,.316,.316
44,29,넥센,14,.328,5163,44.9,20.6,34.4,49.6,29.7,1610,740,1233,1778,1065,643,303,377,711,309,.399,.410,.306,.400,.290
