,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
53,36,LG,17,0.98,5614,1251,1282,0.98,70.9,46.3,53.7,.331,.063,.606,422,33.7,114,8.2,61,134,10,20,.333,115,8.7
54,37,SK,16,0.97,5672,1255,1292,0.97,71.4,45.8,54.2,.331,.074,.612,414,33.0,135,9.2,68,136,24,29,.453,163,14.7
55,38,삼성,21,0.97,5552,1300,1344,0.97,72.1,48.7,51.4,.300,.070,.573,439,33.8,134,10.4,80,146,28,28,.500,131,21.4
56,39,삼성,20,0.97,5574,1285,1332,0.97,71.5,47.6,52.4,.308,.050,.594,447,34.8,93,7.1,72,127,19,30,.388,139,13.7
57,40,두산,22,0.96,5510,1294,1343,0.96,71.3,48.3,51.7,.300,.061,.565,423,32.7,115,9.2,68,145,12,16,.429,62,19.4
58,순,이름,팀,정렬,타석,뜬공,땅볼,FO/GO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트
59,순,이름,팀,FO/GO,타석,뜬공,땅볼,FO/GO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%
60,41,넥센,15,0.96,5811,1205,1257,0.96,69.3,44.5,55.5,.342,.072,.628,387,32.1,127,8.4,59,123,8,17,.320,78,10.3
61,42,두산,21,0.96,5645,1293,1350,0.96,71.0,47.2,52.8,.309,.060,.575,406,31.4,112,8.5,87,142,5,19,.208,67,7.5
62,43,LG,16,0.96,5765,1274,1332,0.96,71.5,46.3,53.7,.336,.064,.614,433,34.0,121,8.3,63,151,8,26,.235,109,7.3
63,44,KIA,17,0.95,5841,1316,1385,0.95,73.7,45.2,54.8,.335,.067,.611,410,31.2,129,8.3,65,136,20,31,.392,119,16.8
64,45,NC,22,0.95,5585,1292,1366,0.95,71.0,48.0,52.0,.300,.060,.564,403,31.2,112,8.9,62,151,26,33,.441,146,17.8
65,46,NC,17,0.94,5790,1268,1344,0.94,71.6,45.8,54.2,.335,.069,.612,407,32.1,130,8.7,71,137,4,23,.148,89,4.5
66,47,LG,14,0.94,5070,1124,1198,0.94,70.8,49.5,50.5,.321,.147,.508,369,32.8,268,22.1,50,118,18,20,.474,101,17.8
67,48,한화,19,0.94,5482,1232,1315,0.94,70.0,46.5,53.5,.310,.057,.566,351,28.5,100,8.0,64,136,10,12,.455,70,14.3
68,49,삼성,17,0.93,5707,1301,1395,0.93,73.0,47.8,52.2,.317,.077,.591,425,32.7,151,10.6,80,179,36,35,.507,198,18.2
69,50,롯데,20,0.93,5669,1308,1410,0.93,72.9,47.1,52.9,.309,.057,.582,407,31.1,109,8.0,76,160,2,16,.111,56,3.6
70,순,이름,팀,정렬,타석,뜬공,땅볼,FO/GO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트
71,순,이름,팀,FO/GO,타석,뜬공,땅볼,FO/GO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%
72,,한화,20,0.93,5483,1209,1303,0.93,67.9,48.2,51.8,.305,.056,.569,383,31.7,99,8.3,61,151,13,16,.448,82,15.9
73,52,키움,21,0.93,5645,1230,1327,0.93,68.6,47.3,52.8,.309,.058,.573,371,30.2,105,8.3,67,153,9,23,.281,96,9.4
74,53,키움,22,0.93,5655,1285,1388,0.93,69.9,49.8,50.2,.299,.067,.569,438,34.1,130,10.4,79,166,4,15,.211,54,7.4
75,54,KIA,22,0.92,5703,1276,1382,0.92,71.1,47.5,52.5,.317,.064,.588,408,32.0,122,9.0,73,157,13,12,.520,80,16.3
76,,KIA,21,0.92,5577,1302,1410,0.92,70.8,48.9,51.1,.292,.042,.559,423,32.5,80,6.7,67,162,2,11,.154,60,3.3
77,,KIA,15,0.92,5454,1179,1278,0.92,67.7,50.2,49.9,.298,.060,.597,447,37.9,110,9.2,51,122,12,32,.273,115,10.4
78,57,LG,22,0.92,5627,1284,1397,0.92,72.0,47.4,52.6,.307,.057,.578,396,30.8,108,8.2,71,158,18,24,.429,98,18.4
79,58,LG,18,0.92,5665,1238,1348,0.92,72.7,45.9,54.1,.337,.075,.612,384,31.0,141,9.5,64,146,17,18,.486,99,17.2
80,59,삼성,15,0.91,5803,1232,1350,0.91,71.5,45.7,54.3,.337,.077,.618,384,31.2,144,9.5,48,137,21,30,.412,124,16.9
81,60,KT,19,0.91,5572,1246,1366,0.91,72.3,47.8,52.2,.324,.082,.586,386,31.0,156,11.4,63,155,30,44,.405,186,16.1
82,순,이름,팀,정렬,타석,뜬공,땅볼,FO/GO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트
83,순,이름,팀,FO/GO,타석,뜬공,땅볼,FO/GO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%
84,61,삼성,16,0.91,5863,1303,1436,0.91,73.1,46.9,53.1,.326,.072,.601,408,31.3,142,9.5,76,178,20,23,.465,121,16.5
85,62,한화,14,0.90,5055,1104,1223,0.90,71.6,49.1,50.9,.326,.134,.530,364,33.0,245,19.6,39,96,7,13,.350,84,8.3
86,63,LG,19,0.90,5532,1258,1395,0.90,72.5,47.9,52.1,.312,.068,.574,380,30.2,129,9.8,71,144,11,31,.262,111,9.9
87,64,NC,15,0.90,5727,1188,1320,0.90,69.8,46.5,53.5,.333,.065,.624,395,33.3,120,8.4,48,135,16,26,.381,121,13.2
88,65,한화,21,0.90,5495,1084,1208,0.90,62.8,48.6,51.4,.306,.061,.578,347,32.0,100,9.0,59,155,22,27,.449,123,17.9
89,66,롯데,18,0.89,5764,1175,1315,0.89,69.6,45.4,54.6,.337,.064,.631,375,31.9,116,7.8,56,119,5,20,.200,75,6.7
90,,SK,15,0.89,5588,1177,1317,0.89,68.8,48.1,51.9,.319,.078,.596,377,32.0,143,10.8,55,125,14,30,.318,139,10.1
91,68,NC,16,0.89,5833,1193,1337,0.89,69.2,46.4,53.6,.333,.069,.622,385,32.3,128,8.8,57,139,17,25,.405,110,15.5
92,69,KIA,18,0.89,5744,1248,1400,0.89,72.8,46.7,53.3,.328,.061,.622,417,33.4,118,7.9,59,145,17,24,.415,127,13.4
93,70,삼성,18,0.89,5766,1226,1381,0.89,71.5,47.2,52.8,.333,.073,.618,403,32.9,141,9.6,67,147,18,30,.375,141,12.8
94,순,이름,팀,정렬,타석,뜬공,땅볼,FO/GO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트
95,순,이름,팀,FO/GO,타석,뜬공,땅볼,FO/GO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%
96,71,롯데,14,0.89,5194,1047,1181,0.89,68.6,49.5,50.5,.339,.164,.529,356,34.0,300,23.3,57,140,9,10,.474,69,13.0
97,72,한화,22,0.88,5513,1134,1287,0.88,66.3,47.6,52.5,.311,.057,.581,339,29.9,97,8.1,69,153,23,27,.460,138,16.7
98,,kt,17,0.88,5484,1200,1362,0.88,72.3,48.2,51.8,.323,.070,.604,398,33.2,133,9.8,58,130,21,33,.389,139,15.1
99,74,롯데,22,0.88,5534,1237,1409,0.88,72.3,48.3,51.7,.312,.063,.587,394,31.9,121,9.2,88,174,15,32,.319,133,11.3
100,75,삼성,22,0.88,5647,1233,1406,0.88,71.5,48.7,51.3,.319,.073,.593,401,32.5,142,10.5,81,174,19,16,.543,119,16.0
101,76,롯데,19,0.87,5488,1213,1390,0.87,70.6,49.4,50.6,.302,.066,.571,381,31.4,124,10.1,65,132,6,23,.207,105,5.7
102,77,롯데,21,0.86,5726,1225,1424,0.86,71.4,48.6,51.4,.323,.079,.596,387,31.6,154,11.1,71,163,10,14,.417,71,14.1
103,,NC,18,0.86,5488,1172,1363,0.86,70.3,49.1,50.9,.306,.056,.605,407,34.7,105,8.2,55,126,12,21,.364,99,12.1
104,79,한화,18,0.86,5539,1156,1351,0.86,70.5,48.8,51.2,.325,.079,.614,393,34.0,150,11.0,68,143,23,29,.442,149,15.4
105,80,한화,16,0.85,5838,1203,1408,0.85,70.7,46.8,53.2,.335,.067,.621,380,31.6,128,8.7,71,171,16,39,.291,137,11.7
106,순,이름,팀,정렬,타석,뜬공,땅볼,FO/GO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트
107,순,이름,팀,FO/GO,타석,뜬공,땅볼,FO/GO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%
108,81,KIA,14,0.84,5023,1045,1244,0.84,71.8,50.2,49.9,.332,.149,.537,352,33.7,279,21.8,58,147,9,14,.391,91,9.9
109,82,롯데,17,0.84,5671,1165,1390,0.84,70.7,48.2,51.8,.330,.068,.628,401,34.4,130,9.1,56,136,7,31,.184,100,7.0
110,83,NC,14,0.84,5031,1030,1231,0.84,70.7,49.1,50.9,.324,.148,.525,309,30.0,267,21.4,56,106,11,12,.478,79,13.9
111,84,kt,16,0.81,5620,1187,1475,0.81,72.5,50.7,49.3,.317,.082,.604,402,33.9,168,12.3,56,146,30,30,.500,126,23.8
112,85,롯데,16,0.80,5784,1112,1391,0.80,68.8,48.5,51.5,.340,.073,.641,383,34.4,139,9.7,60,174,18,24,.429,123,14.6
113,86,한화,17,0.79,5665,1153,1466,0.79,72.3,48.2,51.8,.328,.072,.621,359,31.1,140,9.7,58,151,21,37,.362,126,16.7
114,87,롯데,15,0.79,5680,1053,1342,0.79,67.2,47.8,52.2,.334,.069,.642,349,33.1,124,8.9,56,155,13,31,.296,142,9.2
115,88,kt,15,0.73,5605,1045,1429,0.73,68.7,49.9,50.1,.326,.068,.636,350,33.5,130,9.7,54,142,18,38,.321,140,12.9
116,89,한화,15,0.73,5713,1013,1394,0.73,65.7,49.7,50.4,.327,.075,.629,320,31.6,139,10.6,63,164,20,58,.256,165,12.1
