,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,타석,뜬공,땅볼,FO/GO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트
,순,이름,팀,FO/GO,타석,뜬공,땅볼,FO/GO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%
0,1,리그,20,1.03,56635,13333,12951,1.03,71.1,45.9,54.1,.313,.059,.579,4271,32.0,1082,8.0,628,1320,94,172,.353,831,11.3
1,2,리그,21,0.99,56060,12739,12914,0.99,69.0,47.4,52.7,.304,.063,.568,4053,31.8,1143,9.1,690,1450,145,223,.394,993,14.6
2,3,리그,19,0.98,55612,13117,13386,0.98,72.2,47.2,52.8,.310,.066,.570,4128,31.5,1230,9.4,625,1429,116,244,.322,1047,11.1
3,4,리그,18,0.96,56903,12438,13000,0.96,70.8,45.9,54.2,.329,.068,.612,4073,32.8,1234,8.5,599,1338,120,212,.361,998,12.0
4,5,리그,17,0.94,56881,12578,13391,0.94,71.7,46.2,53.8,.327,.067,.606,4049,32.2,1256,8.7,602,1385,152,263,.366,1132,13.4
5,6,리그,22,0.94,55963,12610,13437,0.94,70.1,48.0,52.0,.307,.066,.574,4008,31.8,1221,9.5,739,1577,172,226,.432,1078,16.0
6,7,리그,14,0.93,45853,9986,10687,0.93,71.1,48.5,51.6,.330,.156,.516,3167,31.7,2549,22.1,447,1076,125,135,.481,766,16.3
7,8,리그,16,0.93,57614,12519,13485,0.93,71.2,46.6,53.4,.331,.073,.609,4071,32.5,1375,9.4,626,1490,173,263,.397,1170,14.8
8,9,리그,15,0.89,56739,11751,13266,0.89,69.1,47.3,52.7,.326,.071,.611,3811,32.4,1296,9.4,542,1325,152,321,.321,1250,12.2
9,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록
10,순,이름,팀,정렬,타석,뜬공,땅볼,FO/GO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트
11,순,이름,팀,FO/GO,타석,뜬공,땅볼,FO/GO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%
12,1,SSG,21,1.19,5736,1396,1171,1.19,67.9,45.6,54.4,.295,.070,.553,463,33.2,123,9.6,80,149,17,29,.370,124,13.7
13,2,두산,16,1.16,5841,1426,1231,1.16,72.4,43.2,56.8,.327,.065,.587,451,31.6,117,7.8,63,148,8,14,.364,51,15.7
14,3,SK,18,1.14,5682,1338,1174,1.14,69.5,44.2,55.8,.315,.060,.595,453,33.9,103,7.3,52,110,5,22,.185,70,7.1
15,4,NC,20,1.13,5833,1395,1231,1.13,71.3,43.4,56.6,.327,.061,.592,446,32.0,109,7.4,53,114,12,15,.444,91,13.2
16,5,두산,17,1.13,5833,1403,1243,1.13,71.8,42.1,57.9,.329,.054,.586,415,29.6,94,6.3,40,112,5,15,.250,56,8.9
17,,NC,21,1.13,5532,1307,1158,1.13,67.9,45.3,54.7,.302,.065,.563,419,32.1,110,8.8,68,137,16,24,.400,102,15.7
18,7,KIA,20,1.10,5637,1377,1248,1.10,71.2,45.4,54.7,.315,.065,.568,440,32.0,118,8.7,52,127,1,13,.071,61,1.6
19,8,키움,20,1.10,5721,1352,1231,1.10,69.3,45.0,55.0,.314,.061,.569,426,31.5,107,8.0,53,137,10,21,.323,91,11.0
20,9,SK,19,1.09,5542,1388,1277,1.09,72.0,47.0,53.1,.303,.062,.560,467,33.7,115,8.9,58,120,4,16,.200,65,6.2
21,10,두산,19,1.09,5669,1433,1319,1.09,74.0,44.4,55.6,.311,.061,.548,399,27.8,111,8.1,71,153,4,19,.174,66,6.1
22,순,이름,팀,정렬,타석,뜬공,땅볼,FO/GO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트
23,순,이름,팀,FO/GO,타석,뜬공,땅볼,FO/GO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%
24,11,두산,18,1.08,5870,1329,1234,1.08,71.9,41.7,58.3,.350,.069,.610,384,28.9,120,7.5,56,129,5,14,.263,55,9.1
25,12,LG,15,1.06,5599,1306,1229,1.06,69.8,46.6,53.4,.321,.087,.569,417,31.9,157,11.8,62,116,23,35,.397,149,15.4
26,13,KT,18,1.06,5605,1305,1233,1.06,70.4,45.6,54.4,.315,.062,.596,445,34.1,111,8.0,61,116,13,16,.448,93,14.0
27,14,SSG,22,1.06,5642,1327,1255,1.06,68.5,47.2,52.8,.297,.076,.550,421,31.7,136,10.9,76,147,22,24,.478,132,16.7
28,15,SK,20,1.06,5502,1361,1290,1.06,70.7,47.7,52.3,.285,.053,.552,457,33.6,97,8.0,68,131,10,15,.400,89,11.2
29,16,LG,20,1.04,5681,1354,1297,1.04,71.8,45.2,54.8,.314,.054,.582,432,31.9,98,7.1,62,112,2,14,.125,52,3.9
30,17,넥센,18,1.04,5780,1251,1201,1.04,68.9,44.3,55.7,.345,.074,.617,412,32.9,129,8.7,61,157,5,18,.217,90,5.6
31,18,KT,21,1.04,5619,1268,1220,1.04,67.7,46.8,53.3,.316,.067,.578,423,33.4,118,9.3,53,127,20,27,.426,129,15.5
32,19,KT,22,1.04,5547,1248,1204,1.04,67.2,46.7,53.3,.310,.080,.560,385,30.9,138,11.2,72,152,20,27,.426,116,17.2
33,20,KT,20,1.04,5762,1285,1241,1.04,69.3,44.9,55.1,.331,.074,.598,412,32.1,131,9.2,66,138,9,21,.300,103,8.7
34,순,이름,팀,정렬,타석,뜬공,땅볼,FO/GO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트
35,순,이름,팀,FO/GO,타석,뜬공,땅볼,FO/GO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%
36,21,삼성,19,1.03,5533,1344,1305,1.03,71.3,47.7,52.3,.294,.065,.553,435,32.4,121,9.7,56,151,11,24,.314,123,8.9
37,22,두산,20,1.03,5773,1407,1368,1.03,74.8,44.8,55.2,.322,.064,.578,421,29.9,121,8.2,65,123,16,11,.593,67,23.9
38,23,LG,21,1.03,5533,1334,1302,1.03,69.9,46.7,53.4,.287,.060,.530,375,28.1,107,9.0,58,116,16,21,.432,90,17.8
39,24,키움,19,1.02,5658,1337,1306,1.02,72.4,46.5,53.5,.325,.068,.590,448,33.5,128,9.1,56,145,9,12,.429,70,12.9
40,25,SK,14,1.02,5082,1117,1097,1.02,69.8,46.8,53.2,.341,.176,.501,331,29.6,304,23.7,52,127,27,17,.614,100,27.0
41,26,삼성,14,1.01,5152,1193,1179,1.01,73.1,47.5,52.5,.329,.159,.513,379,31.8,294,21.9,29,118,27,24,.529,112,24.1
42,27,SK,17,1.01,5564,1252,1238,1.01,69.5,45.6,54.4,.304,.061,.591,403,32.2,107,8.0,47,115,19,28,.404,113,16.8
43,28,두산,15,1.00,5759,1353,1350,1.00,72.9,44.3,55.7,.319,.056,.579,385,28.5,102,7.1,46,106,7,24,.226,77,9.1
44,29,넥센,16,1.00,5702,1286,1286,1.00,71.8,45.2,54.8,.336,.086,.592,384,29.9,156,10.7,47,120,11,12,.478,72,15.3
45,30,넥센,14,1.00,5163,1130,1133,1.00,70.2,47.2,52.8,.328,.159,.522,370,32.7,283,21.4,57,110,6,5,.546,48,12.5
46,순,이름,팀,정렬,타석,뜬공,땅볼,FO/GO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트
47,순,이름,팀,FO/GO,타석,뜬공,땅볼,FO/GO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%
48,31,두산,14,1.00,5083,1196,1201,1.00,73.6,47.3,52.7,.328,.168,.482,337,28.2,309,23.8,49,114,11,20,.355,82,13.4
49,32,넥센,17,0.99,5712,1269,1286,0.99,71.3,45.1,54.9,.340,.070,.611,409,32.2,128,8.7,66,155,9,10,.474,77,11.7
50,,KIA,16,0.99,5696,1280,1297,0.99,71.1,46.6,53.4,.325,.076,.602,431,33.7,141,9.9,65,127,21,41,.339,158,13.3
51,34,KIA,19,0.99,5505,1326,1345,0.99,72.7,48.1,51.9,.308,.066,.565,434,32.7,125,9.7,49,135,17,24,.415,109,15.6
52,35,NC,19,0.98,5631,1340,1368,0.98,73.7,47.3,52.7,.312,.063,.585,447,33.4,121,8.8,72,158,14,39,.264,142,9.9
