,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,도루% 상황,무.도,견제아웃,폭투진루,포일진루,견제실책
32,19,롯데,20,3.21,5669,3.21,90,31,74.4,2171,5.6,14,79,11,0,3,28,2,1,82.4,73.8,84.6,0.0,0,3,83,16,10
33,20,KIA,17,3.07,5841,3.07,76,34,69.1,2293,4.8,20,68,8,0,10,26,6,2,66.7,72.3,57.1,0.0,0,8,108,15,12
34,순,이름,팀,정렬,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,도루% 상황,무.도,견제아웃,폭투진루,포일진루,견제실책
35,순,이름,팀,RAA도루,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,좌,2,3,4,좌,2,3,4,좌,2,3,4,무.도,견제아웃,폭투진루,포일진루,견제실책
36,21,삼성,21,2.42,5552,2.42,116,44,72.5,2078,7.7,20,114,2,0,11,40,2,2,64.5,74.0,50.0,0.0,4,7,99,10,20
37,22,두산,19,2.25,5669,2.25,102,38,72.9,2248,6.2,28,92,9,1,13,36,2,0,68.3,71.9,81.8,100.0,0,8,96,11,21
38,23,두산,17,2.19,5833,2.19,69,33,67.7,2216,4.6,16,62,6,1,13,29,3,1,55.2,68.1,66.7,50.0,0,8,114,9,12
39,24,NC,20,2.16,5833,2.16,101,38,72.7,2217,6.3,20,93,6,2,8,37,1,0,71.4,71.5,85.7,100.0,0,7,92,9,5
40,25,삼성,16,2.12,5863,2.12,104,50,67.5,2354,6.5,28,100,3,1,10,45,4,1,73.7,69.0,42.9,50.0,1,5,114,14,12
41,26,kt,16,2.09,5620,2.09,96,46,67.6,2109,6.7,21,90,6,0,10,44,0,2,67.7,67.2,100.0,0.0,1,11,99,2,14
42,27,LG,21,1.99,5533,1.99,92,34,73.0,2057,6.1,30,83,8,1,10,31,3,0,75.0,72.8,72.7,100.0,0,15,54,15,12
43,28,두산,14,1.94,5083,1.94,111,44,71.6,1960,7.9,23,95,15,0,17,41,2,0,57.5,69.9,88.2,,0,7,74,12,24
44,29,삼성,19,1.90,5533,1.90,107,42,71.8,1939,7.7,21,101,6,0,10,39,1,2,67.7,72.1,85.7,0.0,3,7,61,6,13
45,30,넥센,17,1.73,5712,1.73,70,34,67.3,2174,4.8,17,66,4,0,10,32,0,2,63.0,67.4,100.0,0.0,2,2,92,16,11
46,순,이름,팀,정렬,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,도루% 상황,무.도,견제아웃,폭투진루,포일진루,견제실책
47,순,이름,팀,RAA도루,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,좌,2,3,4,좌,2,3,4,좌,2,3,4,무.도,견제아웃,폭투진루,포일진루,견제실책
48,31,키움,22,1.61,5655,1.61,63,20,75.9,2051,4.1,10,59,4,0,5,20,0,0,66.7,74.7,100.0,,0,8,90,11,13
49,32,롯데,17,1.29,5671,1.29,92,44,67.7,2148,6.3,13,81,9,2,13,34,7,3,50.0,70.4,56.3,40.0,0,10,85,9,17
50,33,NC,22,1.22,5585,1.22,100,39,71.9,2070,6.7,29,89,10,1,12,36,1,2,70.7,71.2,90.9,33.3,0,6,60,9,10
51,34,KT,22,1.13,5547,1.13,89,34,72.4,2009,6.1,13,77,10,2,5,28,1,5,72.2,73.3,90.9,28.6,0,6,83,13,15
52,35,KIA,18,1.11,5744,1.11,88,37,70.4,2250,5.6,17,80,7,1,11,33,2,2,60.7,70.8,77.8,33.3,0,6,91,15,14
53,36,kt,15,1.03,5605,1.03,124,52,70.5,2082,8.5,36,111,12,1,13,50,2,0,73.5,68.9,85.7,100.0,4,10,103,7,11
54,37,KIA,16,1.02,5696,1.02,101,50,66.9,2134,7.1,32,88,11,2,13,39,5,6,71.1,69.3,68.8,25.0,0,12,81,10,17
55,38,SSG,22,0.87,5642,0.87,98,39,71.5,2057,6.7,26,95,3,0,13,37,1,1,66.7,72.0,75.0,0.0,0,4,74,14,11
56,39,두산,15,0.85,5759,0.85,111,47,70.3,2201,7.2,33,93,16,2,15,43,3,1,68.8,68.4,84.2,66.7,0,6,130,11,11
57,40,두산,16,0.82,5841,0.82,85,45,65.4,2337,5.6,19,71,13,1,15,37,4,4,55.9,65.7,76.5,20.0,0,4,104,9,26
58,순,이름,팀,정렬,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,도루% 상황,무.도,견제아웃,폭투진루,포일진루,견제실책
59,순,이름,팀,RAA도루,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,좌,2,3,4,좌,2,3,4,좌,2,3,4,무.도,견제아웃,폭투진루,포일진루,견제실책
60,41,SK,19,0.68,5542,0.68,118,50,70.2,2018,8.3,28,98,20,0,16,45,4,1,63.6,68.5,83.3,0.0,0,12,98,18,12
61,42,NC,18,0.65,5488,0.65,82,35,70.1,1937,6.0,27,75,7,0,9,31,3,1,75.0,70.8,70.0,0.0,0,8,86,6,9
62,43,KT,21,0.65,5619,0.65,112,46,70.9,2203,7.2,19,103,8,1,10,37,6,3,65.5,73.6,57.1,25.0,0,5,99,6,11
63,44,KIA,15,0.09,5454,0.09,115,50,69.7,1913,8.6,35,93,21,1,16,41,5,4,68.6,69.4,80.8,20.0,1,13,94,14,28
64,45,KT,19,0.03,5572,0.03,103,44,70.1,2125,6.9,16,97,6,0,11,34,8,2,59.3,74.1,42.9,0.0,0,8,90,12,13
65,46,두산,20,0.01,5773,0.01,88,37,70.4,2295,5.5,24,81,6,1,14,33,2,2,63.2,71.1,75.0,33.3,1,4,95,7,16
66,47,한화,16,-0.05,5838,-0.05,64,38,62.8,2244,4.6,13,55,9,0,9,33,4,1,59.1,62.5,69.2,0.0,5,10,95,9,7
67,48,LG,19,-0.26,5532,-0.26,107,47,69.5,2054,7.5,34,90,15,2,22,41,6,0,60.7,68.7,71.4,100.0,2,6,81,8,21
68,49,SSG,21,-0.40,5736,-0.40,100,43,69.9,2167,6.6,22,89,11,0,9,38,3,2,71.0,70.1,78.6,0.0,0,3,87,10,9
69,50,롯데,18,-0.54,5764,-0.54,68,32,68.0,2105,4.8,7,65,2,1,10,29,2,1,41.2,69.2,50.0,50.0,0,10,63,10,16
70,순,이름,팀,정렬,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,도루% 상황,무.도,견제아웃,폭투진루,포일진루,견제실책
71,순,이름,팀,RAA도루,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,좌,2,3,4,좌,2,3,4,좌,2,3,4,무.도,견제아웃,폭투진루,포일진루,견제실책
72,51,KIA,21,-0.54,5577,-0.54,73,31,70.2,2110,4.9,7,69,4,0,11,29,1,1,38.9,70.4,80.0,0.0,0,8,70,10,12
73,52,넥센,14,-0.68,5163,-0.68,100,44,69.4,1975,7.3,13,91,6,0,10,32,7,4,56.5,74.0,46.2,0.0,0,13,93,13,12
74,53,삼성,18,-0.69,5766,-0.69,116,52,69.1,2164,7.8,24,107,6,3,12,49,1,2,66.7,68.6,85.7,60.0,2,4,74,18,11
75,54,두산,22,-1.11,5510,-1.11,90,40,69.2,2000,6.5,18,85,2,3,12,34,1,5,60.0,71.4,66.7,37.5,0,4,66,10,16
76,55,넥센,15,-1.38,5811,-1.38,100,47,68.0,2203,6.7,24,94,6,0,11,43,3,1,68.6,68.6,66.7,0.0,0,16,118,12,19
77,56,LG,22,-1.41,5627,-1.41,102,46,68.9,2084,7.1,33,95,6,1,16,43,1,2,67.4,68.8,85.7,33.3,0,10,90,6,10
78,57,두산,21,-1.58,5645,-1.58,81,37,68.6,2232,5.3,19,75,5,1,13,31,3,3,59.4,70.8,62.5,25.0,0,10,82,15,16
79,58,NC,21,-1.61,5532,-1.61,100,46,68.5,2019,7.2,24,89,9,2,12,43,2,1,66.7,67.4,81.8,66.7,0,9,69,10,5
80,59,LG,20,-1.88,5681,-1.88,83,39,68.0,2146,5.7,11,80,2,1,9,33,2,4,55.0,70.8,50.0,20.0,0,5,112,16,13
81,60,롯데,15,-2.03,5680,-2.03,104,50,67.5,2108,7.3,23,98,6,0,15,45,4,1,60.5,68.5,60.0,0.0,0,9,81,10,15
82,순,이름,팀,정렬,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,도루% 상황,무.도,견제아웃,폭투진루,포일진루,견제실책
83,순,이름,팀,RAA도루,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,좌,2,3,4,좌,2,3,4,좌,2,3,4,무.도,견제아웃,폭투진루,포일진루,견제실책
84,61,KIA,19,-2.20,5505,-2.20,87,42,67.4,2046,6.3,26,80,7,0,11,37,2,3,70.3,68.4,77.8,0.0,0,7,73,16,12
85,62,한화,19,-2.26,5482,-2.26,105,51,67.3,1937,8.1,20,93,10,2,16,47,2,2,55.6,66.4,83.3,50.0,2,6,80,8,10
86,63,KT,20,-2.39,5762,-2.39,106,50,68.0,2220,7.0,9,104,2,0,14,41,8,1,39.1,71.7,20.0,0.0,0,6,86,7,13
